ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС;
99.99.99.99.99.99;DRF000000000421879;Дрофа;5;УМК Ломова. ИЗО (5-7);Ломов С. П., Игнатьев С. Е.;Искусство. Изобразительное искусство. 5 класс. Часть 2;75;0,18;Искусство. Изобразительное искусство. 5 класс. Часть 2 (Лицензия 1 год)
1.2.5.1.3.2;DRF000000000421676;Дрофа;6;УМК Ломова. ИЗО (5-7);Ломов С. П., Игнатьев С. Е., Кармазина М. В.;Искусство. Изобразительное искусство. 6 класс. Часть 1;75;0,18;Искусство. Изобразительное искусство. 6 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421878;Дрофа;6;УМК Ломова. ИЗО (5-7);Ломов С. П., Игнатьев С. Е., Кармазина М. В.;Искусство. Изобразительное искусство. 6 класс. Часть 2;75;0,18;Искусство. Изобразительное искусство. 6 класс. Часть 2 (Лицензия 1 год)
1.2.5.1.3.3;DRF000000000421677;Дрофа;7;УМК Ломова. ИЗО (5-7);Ломов С. П., Игнатьев С. Е., Кармазина М. В.;Искусство. Изобразительное искусство. 7 класс. Часть 1;75;0,18;Искусство. Изобразительное искусство. 7 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421851;Дрофа;7;УМК Ломова. ИЗО (5-7);Ломов С. П., Игнатьев С. Е., Кармазина М. В.;Искусство. Изобразительное искусство. 7 класс. Часть 2;75;0,18;Искусство. Изобразительное искусство. 7 класс. Часть 2 (Лицензия 1 год)
1.2.5.1.3.4;DRF000000000421679;Дрофа;8;;Ломов С. П., Игнатьев С. Е., Кармазина М. В.;Искусство. Изобразительное искусство. 8 класс;75;0,18;Искусство. Изобразительное искусство. 8 класс (Лицензия 1 год)
1.2.5.1.3.5;DRF000000000421680;Дрофа;9;;Ломов С. П., Игнатьев С. Е., Кармазина М. В.;Искусство. Изобразительное искусство. 9 класс;75;0,18;Искусство. Изобразительное искусство. 9 класс (Лицензия 1 год)
1.2.5.2.2.1;DRF000000000421610;Дрофа;5;УМК Алеева. Музыка (5-8);Науменко Т. И., Алеев В. В.;Искусство. Музыка. 5 класс;75;0,18;Искусство. Музыка. 5 класс (Лицензия 1 год)
1.2.5.2.2.2;DRF000000000421717;Дрофа;6;УМК Алеева. Музыка (5-8);Науменко Т. И., Алеев В. В.;Искусство. Музыка. 6 класс;75;0,18;Искусство. Музыка. 6 класс (Лицензия 1 год)
1.2.5.2.2.3;DRF000000000421718;Дрофа;7;УМК Алеева. Музыка (5-8);Науменко Т. И., Алеев В. В.;Искусство. Музыка. 7 класс;75;0,18;Искусство. Музыка. 7 класс (Лицензия 1 год)
1.2.5.2.2.4;DRF000000000421719;Дрофа;8;УМК Алеева. Музыка (5-8);Науменко Т. И., Алеев В. В.;Искусство. Музыка. 8 класс;75;0,18;Искусство. Музыка. 8 класс (Лицензия 1 год)
1.2.5.2.2.5;DRF000000000421720;Дрофа;9;;Науменко Т. И., Алеев В. В.;Искусство. Музыка. 9 класс;75;0,18;Искусство. Музыка. 9 класс (Лицензия 1 год)
1.2.6.1.1.1;DRF000000000421517;Дрофа;5;УМК Глозмана-Кожиной. Технология (5-8);Казакевич В. М., Молева Г. А.;Технология. Технический труд. 5 класс;75;0,18;Технология. Технический труд. 5 класс (Лицензия 1 год)
1.2.6.1.1.2;DRF000000000421518;Дрофа;6;УМК Глозмана-Кожиной. Технология (5-8);Казакевич В. М., Молева Г. А.;Технология. Технический труд. 6 класс;75;0,18;Технология. Технический труд. 6 класс (Лицензия 1 год)
1.2.6.1.1.3;DRF000000000421519;Дрофа;7;УМК Глозмана-Кожиной. Технология (5-8);Казакевич В. М., Молева Г. А.;Технология. Технический труд. 7 класс;75;0,18;Технология. Технический труд. 7 класс (Лицензия 1 год)
1.2.6.1.1.4;DRF000000000421520;Дрофа;8;;Афонин И. В., Блинов В. А., Володин А. А.;Технология. Технический труд. 8 класс;75;0,18;Технология. Технический труд. 8 класс (Лицензия 1 год)
1.2.6.1.2.1;DRF000000000421516;Дрофа;5;;Кожина О. А., Кудакова Е. Н., Маркуцкая С. Э.;Технология. Обслуживающий труд. 5 класс;75;0,18;Технология. Обслуживающий труд. 5 класс (Лицензия 1 год)
1.2.6.1.2.2;DRF000000000421521;Дрофа;6;;Кожина О. А., Кудакова Е. Н., Маркуцкая С. Э.;Технология. Обслуживающий труд. 6 класс;75;0,18;Технология. Обслуживающий труд. 6 класс (Лицензия 1 год)
1.2.6.1.2.3;DRF000000000421522;Дрофа;7;;Кожина О. А., Кудакова Е. Н., Маркуцкая С. Э.;Технология. Обслуживающий труд. 7 класс;75;0,18;Технология. Обслуживающий труд. 7 класс (Лицензия 1 год)
1.2.6.1.2.4;DRF000000000421523;Дрофа;8;;Кожина О. А., Кудакова Е. Н., Маркуцкая С. Э.;Технология. Обслуживающий труд. 8 класс;75;0,18;Технология. Обслуживающий труд. 8 класс (Лицензия 1 год)
1.2.7.1.5.1;DRF000000000421535;Дрофа;5-6;УМК Погадаева. Физическая культура (5-9);Погадаев Г. И.;Физическая культура. 5-6 класс;75;0,18;Физическая культура. 5-6 класс (Лицензия 1 год)
1.2.7.1.5.2;DRF000000000421590;Дрофа;7-9;УМК Погадаева. Физическая культура (5-9);Погадаев Г. И.;Физическая культура. 7-9 класс;75;0,18;Физическая культура. 7-9 класс (Лицензия 1 год)
1.2.7.2.2.1;DRF000000000421531;Дрофа;5;УМК Латчука. ОБЖ (5-9);Поляков В. В., Кузнецов М. И., Марков В. В.;Основы безопасности жизнедеятельности. 5 класс;75;0,18;Основы безопасности жизнедеятельности. 5 класс (Лицензия 1 год)
1.2.7.2.2.2;DRF000000000421578;Дрофа;6;УМК Латчука. ОБЖ (5-9);Маслов А. Г., Марков В. В., Латчук В. Н., Кузнецов М. И.;Основы безопасности жизнедеятельности. 6 класс;75;0,18;Основы безопасности жизнедеятельности. 6 класс (Лицензия 1 год)
1.2.7.2.2.3;DRF000000000421579;Дрофа;7;УМК Латчука. ОБЖ (5-9);Вангородский С. Н., Кузнецов М. И., Латчук В. Н., Марков В. В.;Основы безопасности жизнедеятельности. 7 класс;75;0,18;Основы безопасности жизнедеятельности. 7 класс (Лицензия 1 год)
1.2.7.2.2.4;DRF000000000421580;Дрофа;8;УМК Латчука. ОБЖ (5-9);Вангородский С. Н., Кузнецов М. И., Латчук В. Н., Марков В. В.;Основы безопасности жизнедеятельности. 8 класс;75;0,18;Основы безопасности жизнедеятельности. 8 класс (Лицензия 1 год)
1.2.7.2.2.5;DRF000000000421581;Дрофа;9;УМК Латчука. ОБЖ (5-9);Вангородский С. Н., Кузнецов М. И., Латчук В. Н., Марков В. В.;Основы безопасности жизнедеятельности. 9 класс;75;0,18;Основы безопасности жизнедеятельности. 9 класс (Лицензия 1 год)
1.3.1.1.6.1;DRF000000000421534;Дрофа;10;УМК Пахновой. Русский язык (10-11) (Б);Пахнова Т. М.;Русский язык. 10 класс;75;0,18;Русский язык. 10 класс (Лицензия 1 год)
1.3.1.1.6.2;DRF000000000421571;Дрофа;10;УМК Курдюмовой. Литература (10-11) (Б);Курдюмова Т. Ф., Колокольцев Е. Н., Марьина О. Б.;Литература. Базовый уровень. 10 класс ;75;0,18;Литература. Базовый уровень. 10 класс  (Лицензия 1 год)
1.3.1.1.6.3;DRF000000000421664;Дрофа;11;УМК Пахновой. Русский язык (10-11) (Б);Пахнова Т. М.;Русский язык. 11 класс;75;0,18;Русский язык. 11 класс (Лицензия 1 год)
1.3.1.1.6.4;DRF000000000421604;Дрофа;11;УМК Курдюмовой. Литература (10-11) (Б);Курдюмова Т. Ф., Колокольцев Е. Н., Марьина О. Б.;Литература. Базовый уровень. 11 класс. Часть 1;75;0,18;Литература. Базовый уровень. 11 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421804;Дрофа;11;УМК Курдюмовой. Литература (10-11) (Б);Курдюмова Т. Ф., Колокольцев Е. Н., Марьина О. Б.;Литература. Базовый уровень. 11 класс. Часть 2;75;0,18;Литература. Базовый уровень. 11 класс. Часть 2 (Лицензия 1 год)
1.3.1.2.1.1;DRF000000000421663;Дрофа;10-11;УМК Бабайцевой. Русский язык (10-11) (У);Бабайцева В. В.;Русский язык. 10-11 классы;75;0,18;Русский язык. 10-11 классы (Лицензия 1 год)
1.3.1.2.1.2;DRF000000000421745;Дрофа;10;УМК Агеносова-Архангельского. Литература (10-11) (БУ);Архангельский А. Н., Бак Д. П., Кучерская М. А.;Литература. 10 класс. Часть 1;75;0,18;Литература. 10 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421805;Дрофа;10;УМК Агеносова-Архангельского. Литература (10-11) (БУ);Архангельский А. Н., Бак Д. П., Кучерская М. А.;Литература. 10 класс. Часть 2;75;0,18;Литература. 10 класс. Часть 2 (Лицензия 1 год)
1.3.1.2.1.3;DRF000000000421746;Дрофа;11;УМК Агеносова-Архангельского. Литература (10-11) (БУ);Агеносов В. В.;Литература. Углубленный уровень. 11 класс. Часть 1;75;0,18;Литература. Углубленный уровень. 11 класс. Часть 1 (Лицензия 1 год)
1.3.2.1.2.1;DRF000000000421640;Дрофа;10;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (10-11) (Б)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 10 класс;75;0,18;Английский язык. Rainbow English. 10 класс (Лицензия 1 год)
1.3.2.1.2.2;DRF000000000421641;Дрофа;11;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (10-11) (Б)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 11 класс;75;0,18;Английский язык. Rainbow English. 11 класс (Лицензия 1 год)
1.3.2.1.6.1;DRF000000000421707;Дрофа;10-11;УМК Шацких. Французский язык как второй иностранный (10-11);Шацких В. Н., Бабина Л. В., Денискина Л. Ю., Кузнецова И. Н.;Французский язык. 6-7 годы обучения. 10-11 классы;75;0,18;Французский язык. 6-7 годы обучения. 10-11 классы (Лицензия 1 год)
1.3.3.1.2.1;DRF000000000421528;Дрофа;10;;Волобуев О. В., Митрофанов А. А., Пономарев М. В.;История. Всеобщая история. 10 класс;75;0,18;История. Всеобщая история. 10 класс (Лицензия 1 год)
1.3.3.1.2.2;DRF000000000421609;Дрофа;11;УМК История (11);Волобуев О. В., Пономарев М. В., Рогожкин В. А.;История. Всеобщая история. 11 класс;75;0,18;История. Всеобщая история. 11 класс (Лицензия 1 год)
1.3.3.3.3.1;DRF000000000421527;Дрофа;10;;Никитин А. Ф., Грибанова Г. И., Скоробогатько А. В., Мартьянов Д. С.;Обществознание. 10 класс;75;0,18;Обществознание. 10 класс (Лицензия 1 год)
1.3.3.3.3.2;DRF000000000421568;Дрофа;11;;Никитин А. Ф., Грибанова Г. И., Мартьянов Д. С.;Обществознание. 11 класс;75;0,18;Обществознание. 11 класс (Лицензия 1 год)
1.3.3.4.4.1;DRF000000000421538;Дрофа;10-11;УМК Кузнецова. География (10-11) (Б);Кузнецов А. А., Ким Э. В.;География. Базовый уровень. 10-11 класс;75;0,18;География. Базовый уровень. 10-11 класс (Лицензия 1 год)
1.3.3.5.2.1;DRF000000000421628;Дрофа;10;УМК Холиной. География (10-11) (У);Холина В. Н.;География. Углублённый уровень. 10 класс;75;0,18;География. Углублённый уровень. 10 класс (Лицензия 1 год)
1.3.3.5.2.2;DRF000000000421629;Дрофа;11;УМК Холиной. География (10-11) (У);Холина В. Н.;География. Углублённый уровень. 11 класс;75;0,18;География. Углублённый уровень. 11 класс (Лицензия 1 год)
1.3.3.6.6.1;DRF000000000421690;Дрофа;10;УМК Хасбулатова. Экономика (10-11) (БУ);Хасбулатов Р. И.;Экономика. 10 класс;75;0,18;Экономика. 10 класс (Лицензия 1 год)
1.3.3.6.6.2;DRF000000000421691;Дрофа;11;УМК Хасбулатова. Экономика (10-11) (БУ);Хасбулатов Р. И.;Экономика. 11 класс;75;0,18;Экономика. 11 класс (Лицензия 1 год)
1.3.3.8.1.1;DRF000000000421529;Дрофа;10-11;;Никитин А. Ф., Никитина Т. И.;Право. 10-11 классы;75;0,18;Право. 10-11 классы (Лицензия 1 год)
1.3.3.9.1.1;DRF000000000421711;Дрофа;10;;Волобуев О. В., Клоков В. А., Пономарев М. В., Рогожкин В. А.;Россия в мире. 10 класс;75;0,18;Россия в мире. 10 класс (Лицензия 1 год)
1.3.3.9.1.2;DRF000000000421712;Дрофа;11;;Волобуев О. В., Клоков В. А., Пономарев М. В., Рогожкин В. А.;Россия в мире. 11 класс;75;0,18;Россия в мире. 11 класс (Лицензия 1 год)
1.3.4.1.8.1;DRF000000000421498;Дрофа;10;УМК Муравина. Алгебра и начала математического анализа (10-11) (Б);Муравин Г. К., Муравина О. В.;Алгебра и начала математического анализа. Базовый уровень. 10 класс;75;0,18;Алгебра и начала математического анализа. Базовый уровень. 10 класс (Лицензия 1 год)
1.3.4.1.8.2;DRF000000000421500;Дрофа;11;УМК Муравина. Алгебра и начала математического анализа (10-11) (Б);Муравин Г. К., Муравина О. В.;Алгебра и начала математического анализа. Базовый уровень. 11 класс;75;0,18;Алгебра и начала математического анализа. Базовый уровень. 11 класс (Лицензия 1 год)
1.3.4.1.8.3;DRF000000000421504;Дрофа;10-11;УМК Шарыгина. Геометрия (10-11) (Б);Шарыгин И. Ф.;Геометрия. Базовый уровень. 10-11 классы ;75;0,18;Геометрия. Базовый уровень. 10-11 классы  (Лицензия 1 год)
1.3.4.2.3.1;DRF000000000421499;Дрофа;10;УМК Муравина. Алгебра и начала математического анализа (10-11) (Б);Муравин Г. К., Муравина О. В.;Алгебра и начала математического анализа. Углублённый уровень. 10 класс;75;0,18;Алгебра и начала математического анализа. Углублённый уровень. 10 класс (Лицензия 1 год)
1.3.4.2.3.2;DRF000000000421505;Дрофа;10;УМК Потоскуева. Геометрия (10-11) (У);Потоскуев Е. В., Звавич Л. И.;Геометрия. Углубленный уровень. 10 класс;75;0,18;Геометрия. Углубленный уровень. 10 класс (Лицензия 1 год)
1.3.4.2.3.3;DRF000000000421501;Дрофа;11;УМК Муравина. Алгебра и начала математического анализа (10-11) (Б);Муравин Г. К., Муравина О. В.;Алгебра и начала математического анализа. Углублённый уровень. 11 класс;75;0,18;Алгебра и начала математического анализа. Углублённый уровень. 11 класс (Лицензия 1 год)
1.3.4.2.3.4;DRF000000000421506;Дрофа;11;УМК Потоскуева. Геометрия (10-11) (У);Потоскуев Е. В., Звавич Л. И.;Геометрия. Углубленный уровень. 11 класс;75;0,18;Геометрия. Углубленный уровень. 11 класс (Лицензия 1 год)
1.3.4.4.4.1;DRF000000000421509;Дрофа;10;УМК Фиошина-Юнусова. Информатика (10-11) (У);Фиошин М. Е., Рессин А. А., Юнусов С. М.;Информатика. 10 класс;75;0,18;Информатика. 10 класс (Лицензия 1 год)
1.3.4.4.4.2;DRF000000000421510;Дрофа;11;УМК Фиошина-Юнусова. Информатика (10-11) (У);Фиошин М. Е., Рессин А. А., Юнусов С. М.;Информатика. 11 класс;75;0,18;Информатика. 11 класс (Лицензия 1 год)
1.3.5.1.3.1;DRF000000000421667;Дрофа;10;УМК Касьянова. Физика (10-11) (Б);Касьянов В. А.;Физика. Базовый уровень. 10 класс ;75;0,18;Физика. Базовый уровень. 10 класс  (Лицензия 1 год)
1.3.5.1.3.2;DRF000000000421668;Дрофа;11;УМК Касьянова. Физика (10-11) (Б);Касьянов В. А.;Физика. Базовый уровень. 11 класс;75;0,18;Физика. Базовый уровень. 11 класс (Лицензия 1 год)
1.3.5.1.5.1;DRF000000000421524;Дрофа;10;УМК Пурышевой. Физика (10-11) (Б/У);Пурышева Н. С., Важеевская Н. Е., Исаев Д. А.;Физика. 10 класс;75;0,18;Физика. 10 класс (Лицензия 1 год)
1.3.5.1.5.2;DRF000000000421525;Дрофа;11;УМК Пурышевой. Физика (10-11) (Б/У);Пурышева Н. С., Важеевская Н. Е., Исаев Д. А., Чаругин В. М.;Физика. 11 класс;75;0,18;Физика. 11 класс (Лицензия 1 год)
1.3.5.2.2.1;DRF000000000421669;Дрофа;10;УМК Касьянова. Физика (10-11) (У);Касьянов В. А.;Физика. Углубленный уровень. 10 класс;75;0,18;Физика. Углубленный уровень. 10 класс (Лицензия 1 год)
1.3.5.2.2.2;DRF000000000421670;Дрофа;11;УМК Касьянова. Физика (10-11) (У);Касьянов В. А.;Физика. Углубленный уровень. 11 класс;75;0,18;Физика. Углубленный уровень. 11 класс (Лицензия 1 год)
1.3.5.2.3.1;DRF000000000421692;Дрофа;10;УМК Мякишева. Физика (10-11) (У);Мякишев Г. Я., Синяков А. З.;Физика. Механика. 10 класс;75;0,18;Физика. Механика. 10 класс (Лицензия 1 год)
1.3.5.2.3.2;DRF000000000421693;Дрофа;10;УМК Мякишева. Физика (10-11) (У);Мякишев Г. Я., Синяков А. З.;Физика. Молекулярная физика. Термодинамика. 10 класс;75;0,18;Физика. Молекулярная физика. Термодинамика. 10 класс (Лицензия 1 год)
1.3.5.2.4.1;DRF000000000421694;Дрофа;10-11;УМК Мякишева. Физика (10-11) (У);Мякишев Г. Я., Синяков А. З.;Физика. Электродинамика. 10-11 класс;75;0,18;Физика. Электродинамика. 10-11 класс (Лицензия 1 год)
1.3.5.2.4.2;DRF000000000421695;Дрофа;11;УМК Мякишева. Физика (10-11) (У);Мякишев Г. Я., Синяков А. З.;Физика. Колебания и волны. 11 класс;75;0,18;Физика. Колебания и волны. 11 класс (Лицензия 1 год)
1.3.5.2.4.3;DRF000000000421696;Дрофа;11;УМК Мякишева. Физика (10-11) (У);Мякишев Г. Я., Синяков А. З.;Физика. Оптика. Квантовая физика. 11 класс;75;0,18;Физика. Оптика. Квантовая физика. 11 класс (Лицензия 1 год)
1.3.5.3.1.1;DRF000000000421511;Дрофа;10;УМК Габриеляна. Химия (10-11) (Б);Габриелян О. С.;Химия. Базовый уровень. 10 класс;75;0,18;Химия. Базовый уровень. 10 класс (Лицензия 1 год)
1.3.5.3.1.2;DRF000000000421588;Дрофа;11;УМК Габриеляна. Химия (10-11) (Б);Габриелян О. С.;Химия. Базовый уровень. 11 класс;75;0,18;Химия. Базовый уровень. 11 класс (Лицензия 1 год)
1.3.5.3.2.1;DRF000000000421513;Дрофа;10;УМК Лунина. Химия (10-11) (Б);Еремин В. В., Кузьменко Н. Е., Теренин В. И., Дроздов А. А., Лунин В. В.;Химия. Базовый уровень. 10 класс;75;0,18;Химия. Базовый уровень. 10 класс (Лицензия 1 год)
1.3.5.3.2.2;DRF000000000421652;Дрофа;11;УМК Лунина. Химия (10-11) (Б);Еремин В. В., Кузьменко Н. Е., Дроздов А. А., Лунин В. В.;Химия. Базовый уровень. 11 класс;75;0,18;Химия. Базовый уровень. 11 класс (Лицензия 1 год)
1.3.5.4.1.1;DRF000000000421587;Дрофа;10;УМК Габриеляна. Химия (10-11) (У);Габриелян О. С., Остроумов И. Г., Пономарев С. Ю.;Химия. Углубленный уровень. 10 класс;75;0,18;Химия. Углубленный уровень. 10 класс (Лицензия 1 год)
1.3.5.4.1.2;DRF000000000421589;Дрофа;11;УМК Габриеляна. Химия (10-11) (У);Габриелян О. С., Лысова Г. Г.;Химия. Углубленный уровень. 11 класс;75;0,18;Химия. Углубленный уровень. 11 класс (Лицензия 1 год)
1.3.5.4.2.1;DRF000000000421651;Дрофа;10;УМК Лунина. Химия (10-11) (У);Еремин В. В., Кузьменко Н. Е., Теренин В. И., Дроздов А. А., Лунин В. В.;Химия. Углубленный уровень. 10 класс;75;0,18;Химия. Углубленный уровень. 10 класс (Лицензия 1 год)
1.3.5.4.2.2;DRF000000000421653;Дрофа;11;УМК Лунина. Химия (10-11) (У);Еремин В. В., Кузьменко Н. Е., Дроздов А. А., Лунин В. В.;Химия. Углубленный уровень. 11 класс;75;0,18;Химия. Углубленный уровень. 11 класс (Лицензия 1 год)
1.3.5.5.4.1;DRF000000000421555;Дрофа;10-11;УМК Пасечника. Биология (10-11) (Б);Каменский А. А., Криксунов Е. А., Пасечник В. В.;Общая биология. 10-11 классы;75;0,18;Общая биология. 10-11 классы (Лицензия 1 год)
1.3.5.5.7.1;DRF000000000421556;Дрофа;10;;Сивоглазов В. И., Агафонова И. Б., Захарова Е. Т.;Общая биология. Базовый уровень. 10 класс ;75;0,18;Общая биология. Базовый уровень. 10 класс  (Лицензия 1 год)
1.3.5.5.7.2;DRF000000000421557;Дрофа;11;;Сивоглазов В. И., Агафонова И. Б., Захарова Е. Т.;Общая биология. Базовый уровень. 11 класс;75;0,18;Общая биология. Базовый уровень. 11 класс (Лицензия 1 год)
1.3.5.6.2.1;DRF000000000421558;Дрофа;10;;Захаров В. Б., Мамонтов С. Г., Сонин Н. И., Захарова Е. Т.;Общая биология. Углубленный уровень. 10 класс;75;0,18;Общая биология. Углубленный уровень. 10 класс (Лицензия 1 год)
1.3.5.6.2.2;DRF000000000421559;Дрофа;11;;Захаров В. Б., Мамонтов С. Г., Сонин Н. И., Захарова Е. Т.;Общая биология. Углубленный уровень. 11 класс;75;0,18;Общая биология. Углубленный уровень. 11 класс (Лицензия 1 год)
1.3.5.7.1.1;DRF000000000421560;Дрофа;10;УМК Титова. Естествознание (10-11) (Б);Титов С. А., Агафонова И. Б., Сивоглазов В. И.;Естествознание. 10 класс;75;0,18;Естествознание. 10 класс (Лицензия 1 год)
1.3.5.7.1.2;DRF000000000421561;Дрофа;11;УМК Титова. Естествознание (10-11) (Б);Титов С. А., Агафонова И. Б., Сивоглазов В. И.;Естествознание. 11 класс;75;0,18;Естествознание. 11 класс (Лицензия 1 год)
1.3.5.7.2.1;DRF000000000421671;Дрофа;10;УМК Габриеляна. Естествознание (10-11) (Б);Габриелян О. С., Остроумов И. Г., Пурышева Н. С., Сладков С. А., Сивоглазов В. И.;Естествознание. Базовый уровень. 10 класс;75;0,18;Естествознание. Базовый уровень. 10 класс (Лицензия 1 год)
1.3.5.7.2.2;DRF000000000421672;Дрофа;11;УМК Габриеляна. Естествознание (10-11) (Б);Габриелян О. С., Остроумов И. Г., Пурышева Н. С., Сладков С. А., Сивоглазов В. И.;Естествознание. Базовый уровень. 11 класс;75;0,18;Естествознание. Базовый уровень. 11 класс (Лицензия 1 год)
1.3.6.1.4.1;DRF000000000421536;Дрофа;10-11;УМК Погадаева. Физическая культура (10-11) (Б);Погадаев Г. И.;Физическая культура. 10-11 класс;75;0,18;Физическая культура. 10-11 класс (Лицензия 1 год)
1.3.6.2.2.1;DRF000000000421540;Дрофа;10-11;УМК Черновой. Экология (10-11) (Б);Чернова Н. М., Галушин В. М., Константинов В. М.;Экология. Базовый уровень. 10-11 классы;75;0,18;Экология. Базовый уровень. 10-11 классы (Лицензия 1 год)
1.3.6.3.3.1;DRF000000000421533;Дрофа;10;УМК Латчука. ОБЖ (10-11) (Б);Латчук В. Н., Марков В. В., Миронов С. К., Вангородский С. Н.;Основы безопасности жизнедеятельности. 10 класс;75;0,18;Основы безопасности жизнедеятельности. 10 класс (Лицензия 1 год)
1.3.6.3.3.2;DRF000000000421582;Дрофа;11;УМК Латчука. ОБЖ (10-11) (Б);Латчук В. Н., Марков В. В., Миронов С. К., Вангородский С. Н.;Основы безопасности жизнедеятельности. 11 класс;75;0,18;Основы безопасности жизнедеятельности. 11 класс (Лицензия 1 год)
2.2.5.1.1.1;DRF000000000421698;Дрофа;5-6;УМК Гуревича. Введение в естественно-научные предметы (5-6);Гуревич А. Е., Исаев Д. А., Понтак Л. С.;Введение в естественно-научные предметы. Естествознание. Физика. Химия. 5-6 классы;75;0,18;Введение в естественно-научные предметы. Естествознание. Физика. Химия. 5-6 классы (Лицензия 1 год)
2.2.5.1.1.2;DRF000000000421562;Дрофа;5;;Пакулова В. М., Иванова Н. В.;Введение в естественно-научные предметы. 5 класс;75;0,18;Введение в естественно-научные предметы. 5 класс (Лицензия 1 год)
2.2.5.1.1.3;DRF000000000421563;Дрофа;5;;Плешаков А. А., Сонин Н. И.;Естествознание. Введение в естественно-научные предметы. 5 класс;75;0,18;Естествознание. Введение в естественно-научные предметы. 5 класс (Лицензия 1 год)
2.2.6.1.1.1;DRF000000000421530;Дрофа;5;УМК Даниловой. Искусство (5-9);Данилова Г. И.;Искусство. Вечные образы искусства. Мифология. 5 класс;75;0,18;Искусство. Вечные образы искусства. Мифология. 5 класс (Лицензия 1 год)
2.2.6.1.1.2;DRF000000000421631;Дрофа;6;УМК Даниловой. Искусство (5-9);Данилова Г. И.;Искусство. Вечные образы искусства. Библия. 6 класс;75;0,18;Искусство. Вечные образы искусства. Библия. 6 класс (Лицензия 1 год)
2.2.6.1.1.3;DRF000000000421632;Дрофа;7;УМК Даниловой. Искусство (5-9);Данилова Г. И.;Искусство. 7 класс;75;0,18;Искусство. 7 класс (Лицензия 1 год)
2.2.6.1.1.4;DRF000000000421633;Дрофа;8;УМК Даниловой. Искусство (5-9);Данилова Г. И.;Искусство. 8 класс;75;0,18;Искусство. 8 класс (Лицензия 1 год)
2.2.6.1.1.5;DRF000000000421650;Дрофа;9;УМК Даниловой. Искусство (5-9);Данилова Г. И.;Искусство. 9 класс;75;0,18;Искусство. 9 класс (Лицензия 1 год)
2.3.2.3.1.1;DRF000000000421532;Дрофа;10;УМК Даниловой. Искусство (10-11) (Б);Данилова Г. И.;Искусство. 10 класс;75;0,18;Искусство. 10 класс (Лицензия 1 год)
2.3.2.3.1.2;DRF000000000421573;Дрофа;11;УМК Даниловой. Искусство (10-11) (Б);Данилова Г. И.;Искусство. 11 класс;75;0,18;Искусство. 11 класс (Лицензия 1 год)
2.3.2.4.1.1;DRF000000000421731;Дрофа;11;УМК Воронцова-Вельяминова. Астрономия (11);Воронцов-Вельяминов Б. А., Страут Е. К.;Астрономия. 11 класс;75;0,18;Астрономия. 11 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000000000;Дрофа;10;;Потоскуев Е. В., Звавич Л. И.;Геометрия. Задачник. 10 класс;75;0,18;Геометрия. Задачник. 10 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421503;Дрофа;7-9;УМК Шарыгина. Геометрия (7-9);Шарыгин И. Ф.;Геометрия. 7-9 классы;75;0,18;Геометрия. 7-9 классы (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421806;Дрофа;11;УМК Агеносова-Архангельского. Литература (10-11) (БУ);Агеносов В. В.;Литература. Углубленный уровень. 11 класс. Часть 2;75;0,18;Литература. Углубленный уровень. 11 класс. Часть 2 (Лицензия 1 год)
