ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС;
1.2.1.3.11.5;DRF000000000421674;Дрофа;9;;Радченко О. А., Хебелер Г. A.;Немецкий язык. 9 класс;75;0,18;Немецкий язык. 9 класс (Лицензия 1 год)
1.2.1.3.15.1;DRF000000000421675;Дрофа;5;УМК Шацких. Французский язык как второй иностранный (5-9);Шацких В. Н., Кузнецова О. В., Кузнецова И. Н.;Французский язык. 1-й год обучения. 5 класс. Часть 1;75;0,18;Французский язык. 1-й год обучения. 5 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421891;Дрофа;5;УМК Шацких. Французский язык как второй иностранный (5-9);Шацких В. Н., Кузнецова О. В., Кузнецова И. Н.;Французский язык. 1-й год обучения. 5 класс. Часть 2;75;0,18;Французский язык. 1-й год обучения. 5 класс. Часть 2 (Лицензия 1 год)
1.2.1.3.15.2;DRF000000000421678;Дрофа;6;УМК Шацких. Французский язык как второй иностранный (5-9);Шацких В. Н.;Французский язык. 2-й год обучения. 6 класс. Часть 1;75;0,18;Французский язык. 2-й год обучения. 6 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421892;Дрофа;6;УМК Шацких. Французский язык как второй иностранный (5-9);Шацких В. Н.;Французский язык. 2-й год обучения. 6 класс. Часть 2;75;0,18;Французский язык. 2-й год обучения. 6 класс. Часть 2 (Лицензия 1 год)
1.2.1.3.15.3;DRF000000000421704;Дрофа;7;УМК Шацких. Французский язык как второй иностранный (5-9);Шацких В. Н., Бабина Л. В., Денискина Л. Ю., Кузнецова И. Н.;Французский язык. 3-й год обучения. 7 класс;75;0,18;Французский язык. 3-й год обучения. 7 класс (Лицензия 1 год)
1.2.1.3.15.4;DRF000000000421705;Дрофа;8;УМК Шацких. Французский язык как второй иностранный (5-9);Шацких В. Н., Бабина Л. В., Денискина Л. Ю., Кузнецова И. Н.;Французский язык. 4-й год обучения. 8 класс;75;0,18;Французский язык. 4-й год обучения. 8 класс (Лицензия 1 год)
1.2.1.3.15.5;DRF000000000421706;Дрофа;9;УМК Шацких. Французский язык как второй иностранный (5-9);Шацких В. Н., Бабина Л. В., Денискина Л. Ю., Кузнецова И. Н.;Французский язык. 5-й год обучения. 9 класс;75;0,18;Французский язык. 5-й год обучения. 9 класс (Лицензия 1 год)
1.2.1.3.2.1;DRF000000000421635;Дрофа;5;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 5 класс. Часть 1;75;0,18;Английский язык. Rainbow English. 5 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421868;Дрофа;5;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 5 класс. Часть 2;75;0,18;Английский язык. Rainbow English. 5 класс. Часть 2 (Лицензия 1 год)
1.2.1.3.2.2;DRF000000000421636;Дрофа;6;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 6 класс. Часть 1;75;0,18;Английский язык. Rainbow English. 6 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421869;Дрофа;6;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 6 класс. Часть 2;75;0,18;Английский язык. Rainbow English. 6 класс. Часть 2 (Лицензия 1 год)
1.2.1.3.2.3;DRF000000000421637;Дрофа;7;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 7 класс. Часть 1;75;0,18;Английский язык. Rainbow English. 7 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421865;Дрофа;7;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 7 класс. Часть 2;75;0,18;Английский язык. Rainbow English. 7 класс. Часть 2 (Лицензия 1 год)
1.2.1.3.2.4;DRF000000000421638;Дрофа;8;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 8 класс. Часть 1;75;0,18;Английский язык. Rainbow English. 8 класс. Часть 1 (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000421866;Дрофа;8;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 8 класс. Часть 2;75;0,18;Английский язык. Rainbow English. 8 класс. Часть 2 (Лицензия 1 год)
1.2.1.3.2.5;DRF000000000421639;Дрофа;9;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 9 класс. Часть 1;75;0,18;Английский язык. Rainbow English. 9 класс. Часть 1 (Лицензия 1 год)
