ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.1.5.1.9.4;ASE000000000723094;Астрель;4;УМК Сокольниковой. ИЗО (1-4);Сокольникова Н. М.;Изобразительное искусство. 4 класс;75,00;0,18
1.1.5.2.3.1;ASE000000000723093;Астрель;1;УМК Баклановой. Музыка (1-4);Бакланова Т. И.;Музыка. 1 класс;75,00;0,18
1.1.5.2.3.2;ASE000000000723092;Астрель;2;УМК Баклановой. Музыка (1-4);Бакланова Т. И.;Музыка. 2 класс;75,00;0,18
1.1.5.2.3.3;ASE000000000723091;Астрель;3;УМК Баклановой. Музыка (1-4);Бакланова Т. И.;Музыка. 3 класс;75,00;0,18
1.1.5.2.3.4;ASE000000000723090;Астрель;4;УМК Баклановой. Музыка (1-4);Бакланова Т. И.;Музыка. 4 класс;75,00;0,18
1.1.6.1.11.1;VEN000000000428558;Астрель;1;УМК Хохловой. Технология (1-4);Узорова О. В., Нефёдова Е. А.;Технология. 1 класс;75,00;0,18
1.1.6.1.11.2;VEN000000000428562;Астрель;2;УМК Хохловой. Технология (1-4);Узорова О. В., Нефёдова Е. А.;Технология. 2 класс;75,00;0,18
1.1.6.1.11.4;VEN000000000428568;Астрель;4;УМК Хохловой. Технология (1-4);Узорова О. В., Нефёдова Е. А.;Технология. 4 класс;75,00;0,18
1.1.7.1.2.1;ASE000000000722905;Астрель;1;УМК Лисицкой. Физическая культура. (1-4);Лисицкая Т. С., Новикова Л. А.;Физическая культура. 1 класс;75,00;0,18
1.1.7.1.2.2;ASE000000000722906;Астрель;2;УМК Лисицкой. Физическая культура. (1-4);Лисицкая Т. С., Новикова Л. А.;Физическая культура. 2 класс;75,00;0,18
1.1.7.1.2.3;ASE000000000722907;Астрель;3, 4;УМК Лисицкой. Физическая культура. (1-4);Лисицкая Т. С., Новикова Л. А.;Физическая культура. 3-4 классы;75,00;0,18
1.2.4.3.2.1;DRF000000000421630;Астрель;8;УМК Лунина. Химия (8-9);Оржековский П. А., Мещерякова Л. М., Шалашова М. М.;Химия. 8 класс;75,00;0,18
