99-9433-01;99.99.99.99.99.99;3;Поглазова О. Т., Ворожейкина Н. И., Шилин В. Д.;Окружающий мир. 3 класс. В 2 частях. Часть 1;Окружающий мир 1-4;0,18;2017;85,00
99-9434-01;99.99.99.99.99.99;3;Поглазова О. Т., Ворожейкина Н. И., Шилин В. Д.;Окружающий мир. 3 класс. В 2 частях. Часть 2;Окружающий мир 1-4;0,18;2017;85,00
99-9435-01;99.99.99.99.99.99;4;Поглазова О. Т., Ворожейкина Н. И., Шилин В. Д.;Окружающий мир. 4 класс. В 2 частях. Часть 1;Окружающий мир 1-4;0,18;2017;85,00
99-9436-01;99.99.99.99.99.99;4;Поглазова О. Т., Ворожейкина Н. И., Шилин В. Д.;Окружающий мир. 4 класс. В 2 частях. Часть 2;Окружающий мир 1-4;0,18;2017;85,00
99-9437-01;99.99.99.99.99.99;1;Конышева Н. М.;Технология. 1 класс;Технология 1-4;0,18;2017;85,00
99-9438-01;99.99.99.99.99.99;2;Конышева Н. М.;Технология. 2 класс;Технология 1-4;0,18;2017;85,00
99-9439-01;99.99.99.99.99.99;3;Конышева Н. М.;Технология. 3 класс;Технология 1-4;0,18;2017;85,00
99-9440-01;99.99.99.99.99.99;4;Конышева Н. М.;Технология. 4 класс;Технология 1-4;0,18;2017;85,00
99-9441-01;99.99.99.99.99.99;1;Копцева Т. А., Копцев В. П., Копцев Е. В. ;Изобразительное искусство. 1 класс;Изобразительное искусство 1-4;0,18;2017;85,00
99-9442-01;99.99.99.99.99.99;2;Копцева Т. А., Копцев В. П., Копцев Е. В. ;Изобразительное искусство. 2 класс;Изобразительное искусство 1-4;0,18;2017;85,00
99-9443-01;99.99.99.99.99.99;3;Копцева Т. А., Копцев В. П., Копцев В. В. ;Изобразительное искусство. 3 класс;Изобразительное искусство 1-4;0,18;2017;85,00
99-9444-01;99.99.99.99.99.99;4;Копцева Т. А., Копцев В. П., Копцев В. В. ;Изобразительное искусство. 4 класс;Изобразительное искусство 1-4;0,18;2017;85,00
99-9445-01;99.99.99.99.99.99;1;Красильникова М. С., Яшмолкина О. Н., Нехаева О. И.;Музыка. 1 класс;Музыка 1-4;0,18;2017;85,00
99-9446-01;99.99.99.99.99.99;2;Красильникова М. С., Яшмолкина О. Н., Нехаева О. И.;Музыка. 2 класс;Музыка 1-4;0,18;2017;85,00
99-9447-01;99.99.99.99.99.99;3;Красильникова М. С., Яшмолкина О. Н., Нехаева О. И.;Музыка. 3 класс;Музыка 1-4;0,18;2017;85,00
99-9448-01;99.99.99.99.99.99;4;Красильникова М. С., Яшмолкина О. Н., Нехаева О. И.;Музыка. 4 класс;Музыка 1-4;0,18;2017;85,00
99-9471-01;99.99.99.99.99.99;4;Ворожейкина Н. И., Заяц Д. В.;Основы религиозных культур и светской этики. 4 класс;ОРКСЭ;0,18;2017;85,00
99-9472-01;99.99.99.99.99.99;4;Заяц Д. В., Ворожейкина Н. И.;Основы религиозных культур и светской этики. Основы мировых религиозных культур. 4 класс;ОРКСЭ;0,18;2017;85,00
99-9473-01;99.99.99.99.99.99;4;Ворожейкина Н. И., Заяц Д. В.;Основы религиозных культур и светской этики. Основы светской этики. 4 класс;ОРКСЭ;0,18;2017;85,00
99-9449-01;99.99.99.99.99.99;1;Тарнопольская Р. И., Мишин Б. И.;Физическая культура. 1 класс;Физическая культура 1-4;0,18;2017;85,00
99-9450-01;99.99.99.99.99.99;2;Тарнопольская Р. И., Мишин Б. И.;Физическая культура. 2 класс;Физическая культура 1-4;0,18;2017;85,00
99-9451-01;99.99.99.99.99.99;3;Тарнопольская Р. И., Мишин Б. И.;Физическая культура. 3 класс;Физическая культура 1-4;0,18;2017;85,00
99-9452-01;99.99.99.99.99.99;4;Тарнопольская Р. И., Мишин Б. И.;Физическая культура. 4 класс;Физическая культура 1-4;0,18;2017;85,00
99-9453-01;99.99.99.99.99.99;2;Нателаури  Н. К., Маранин  С. С.;Информатика. 2 класс. В 2 частях. Часть 1;Информатика 2-4;0,18;2017;85,00
99-9454-01;99.99.99.99.99.99;2;Нателаури  Н. К., Маранин  С. С.;Информатика. 2 класс. В 2 частях. Часть 2;Информатика 2-4;0,18;2017;85,00
99-9455-01;99.99.99.99.99.99;3;Нателаури  Н. К., Маранин  С. С.;Информатика. 3 класс. В 2 частях. Часть 1;Информатика 2-4;0,18;2017;85,00
99-9456-01;99.99.99.99.99.99;3;Нателаури  Н. К., Маранин  С. С.;Информатика. 3 класс. В 2 частях. Часть 2;Информатика 2-4;0,18;2017;85,00
99-9457-01;99.99.99.99.99.99;4;Нателаури  Н. К., Маранин  С. С.;Информатика. 4 класс. В 2 частях. Часть 1;Информатика 2-4;0,18;2017;85,00
99-9458-01;99.99.99.99.99.99;4;Нателаури  Н. К., Маранин  С. С.;Информатика. 4 класс. В 2 частях. Часть 2;Информатика 2-4;0,18;2017;85,00
99-9465-01;99.99.99.99.99.99;5;Истомина Н. Б. Горина О. П., Редько З. Б., Тихонова Н. Б. ;Математика. 5 класс;Математика 5-6;0,18;2017;85,00
99-9466-01;99.99.99.99.99.99;6;Истомина Н. Б. Горина О. П., Редько З. Б., Тихонова Н. Б. ;Математика. 6 класс;Математика 5-6;0,18;2017;85,00
99-9467-01;99.99.99.99.99.99;5;Конышева Н. М.;Технология. 5 класс;Технология 5-8;0,18;2017;85,00
99-9468-01;99.99.99.99.99.99;6;Конышева Н. М.;Технология. 6 класс;Технология 5-8;0,18;2017;85,00
99-9469-01;99.99.99.99.99.99;7;Конышева Н. М.;Технология. 7 класс;Технология 5-8;0,18;2017;85,00
99-9470-01;99.99.99.99.99.99;8;Конышева Н. М.;Технология. 8 класс;Технология 5-8;0,18;2017;85,00
