;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
№ ФП массового учебника;Система;Код 1С;Класс;"Автор в 1С издательства ""Просвещение""";"Наименование в 1С издательства ""Просвещение""";Линия УМК;Примечание;Год издания;Цена с НДС, руб. ;Заказ (количество экз);Система
1.1.1.2.4.1;Перспектива;06-0328-01;1;Климанова Л. Ф., Горецкий В. Г., Виноградская Л. А.;Литературное чтение. 1 класс. В 3-х ч. Ч. 2 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.1;Перспектива;06-0329-01;1;Климанова Л. Ф., Горецкий В. Г., Виноградская Л. А.;Литературное чтение. 1 класс. В 3-х ч. Ч. 3 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.2;Перспектива;06-0326-01;2;Климанова Л. Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 2 класс. В 4-х ч. Ч. 1 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.2;Перспектива;06-0330-01;2;Климанова Л. Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 2 класс. В 4-х ч. Ч. 2 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.2;Перспектива;06-0331-01;2;Климанова Л. Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 2 класс. В 4-х ч. Ч. 3 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.2;Перспектива;06-0332-01;2;Климанова Л. Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 2 класс. В 4-х ч. Ч. 4 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.3;Перспектива;06-0333-01;3;Климанова Л. Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 3 класс. В 4-х ч. Ч. 1 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.3;Перспектива;06-0334-01;3;Климанова Л. Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 3 класс. В 4-х ч. Ч. 2 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.3;Перспектива;06-0335-01;3;Климанова Л. Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 3 класс. В 4-х ч. Ч. 3 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.3;Перспектива;06-0336-01;3;Климанова Л. Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 3 класс. В 4-х ч. Ч. 4 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.4;Перспектива;06-0337-01;4;Климанова Л. Ф., Виноградская Л. А., Бойкина М. В.;Литературное чтение. 4 класс. В 4-х ч. Ч. 1 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.4;Перспектива;06-0338-01;4;Климанова Л. Ф., Виноградская Л. А., Бойкина М. В.;Литературное чтение. 4 класс. В 4-х ч. Ч. 2 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.4;Перспектива;06-0339-01;4;Климанова Л. Ф., Виноградская Л. А., Бойкина М. В.;Литературное чтение. 4 класс. В 4-х ч. Ч. 3 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.4.4;Перспектива;06-0340-01;4;Климанова Л. Ф., Виноградская Л. А., Бойкина М. В.;Литературное чтение. 4 класс. В 4-х ч. Ч. 4 (для слабовидящих обучающихся);Климанова Л.Ф. Литературное чтение (1-4);;2016;1100,00;;Перспектива
1.1.1.2.5.1;Школа России;06-0312-01;1;Климанова Л. Ф., Горецкий В. Г., Голованова М. В.;Литературное чтение. 1 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;715,00;;Школа России
1.1.1.2.5.1;Школа России;06-0313-01;1;Климанова Л. Ф., Горецкий В. Г., Голованова М. В.;Литературное чтение. 1 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;605,00;;Школа России
1.1.1.2.5.2;Школа России;06-0314-01;2;Климанова Л. Ф., Горецкий В. Г., Голованова М. В.;Литературное чтение. 2 класс. В 4 ч. Ч.1 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;770,00;;Школа России
1.1.1.2.5.2;Школа России;06-0315-01;2;Климанова Л. Ф., Горецкий В. Г., Голованова М. В.;Литературное чтение. 2 класс. В 4 ч. Ч.2 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;770,00;;Школа России
1.1.1.2.5.2;Школа России;06-0316-01;2;Климанова Л. Ф., Горецкий В. Г., Голованова М. В.;Литературное чтение. 2 класс. В 4 ч. Ч.3 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;770,00;;Школа России
1.1.1.2.5.2;Школа России;06-0317-01;2;Климанова Л. Ф., Горецкий В. Г., Голованова М. В.;Литературное чтение. 2 класс. В 4 ч. Ч.4 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;770,00;;Школа России
1.1.1.2.5.3;Школа России;06-0318-01;3;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 3 класс. В 4 ч. Ч.1 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;770,00;;Школа России
1.1.1.2.5.3;Школа России;06-0319-01;3;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 3 класс. В 4 ч. Ч.2 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;770,00;;Школа России
1.1.1.2.5.3;Школа России;06-0320-01;3;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 3 класс. В 4 ч. Ч.3 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;770,00;;Школа России
1.1.1.2.5.3;Школа России;06-0321-01;3;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 3 класс. В 4 ч. Ч.4 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;770,00;;Школа России
1.1.1.2.5.4;Школа России;06-0322-01;4;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 4 класс. В 4 ч. Ч.1 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;825,00;;Школа России
1.1.1.2.5.4;Школа России;06-0323-01;4;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 4 класс. В 4 ч. Ч.2 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;825,00;;Школа России
1.1.1.2.5.4;Школа России;06-0324-01;4;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 4 класс. В 4 ч. Ч.3 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;825,00;;Школа России
1.1.1.2.5.4;Школа России;06-0325-01;4;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 4 класс. В 4 ч. Ч.4 (для слабовидящих обучающихся);Климанова Л.Ф. (1-4);;2016;825,00;;Школа России
1.1.1.3.5.1;Школа России;24-3413-01;2;Верещагина И. Н., Бондаренко К. А., Притыкина Т. А.;Английский язык. 2 класс.  В 4-х ч. Ч.1 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1210,00;;Школа России
