;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
№ ФП массового учебника;Система;Код 1С;Класс;"Автор в 1С издательства ""Просвещение""";"Наименование в 1С издательства ""Просвещение""";Линия УМК;Примечание;Год издания;Цена с НДС, руб. ;Заказ (количество экз);Система
1.1.5.1.6.2;Школа России;31-0273-01;2;Коротеева Е. И. / Под ред. Неменского Б. М.;Изобразительное искусство. 2 класс. В 2-х частях. Ч.2 (для слабовидящих обучающихся);Неменский Б.М. (1-4);;2016;935,00;;Школа России
1.1.5.1.6.3;Школа России;31-0274-01;3;Горяева Н. А., Неменская Л. А., Питерских А. С. и др. / Под ред. Неменского Б. М.;Изобразительное искусство. 3 класс. В 2-х частях. Ч.1 (для слабовидящих обучающихся);Неменский Б.М. (1-4);;2016;1320,00;;Школа России
1.1.5.1.6.3;Школа России;31-0275-01;3;Горяева Н. А., Неменская Л. А., Питерских А. С. и др. / Под ред. Неменского Б. М.;Изобразительное искусство. 3 класс. В 2-х частях. Ч.2 (для слабовидящих обучающихся);Неменский Б.М. (1-4);;2016;1320,00;;Школа России
1.1.5.1.6.4;Школа России;31-0249-01;4;Неменская Л. А. / Под ред. Неменского Б. М.;Изобразительное искусство. 4 класс. В 2-х частях. Ч.1(для слабовидящих обучающихся);Неменский Б.М. (1-4);;2016;1430,00;;Школа России
1.1.5.1.6.4;Школа России;31-0250-01;4;Неменская Л. А. / Под ред. Неменского Б. М.;Изобразительное искусство. 4 класс. В 2-х частях. Ч.2(для слабовидящих обучающихся);Неменский Б.М. (1-4);;2016;1430,00;;Школа России
1.1.5.1.10.1;Перспектива;31-0235-03;1;Шпикалова Т. Я., Ершова Л. В.;Изобразительное искусство. 1 класс (для слабовидящих обучающихся);Шпикалова Т.Я. (1-4);;2016;1430,00;;Перспектива
1.1.5.1.10.2;Перспектива;31-0236-02;2;Шпикалова Т. Я., Ершова Л. В.;Изобразительное искусство. 2 класс. В 2-х ч. Ч.1 (для слабовидящих обучающихся);Шпикалова Т.Я. (1-4);;2016;1320,00;;Перспектива
1.1.5.1.10.2;Перспектива;31-0237-01;2;Шпикалова Т. Я., Ершова Л. В.;Изобразительное искусство. 2 класс. В 2-х ч. Ч.2 (для слабовидящих обучающихся);Шпикалова Т.Я. (1-4);;2016;990,00;;Перспектива
1.1.5.1.10.4;Перспектива;31-0238-01;4;Шпикалова Т. Я., Ершова Л. В.;Изобразительное искусство. 4 класс. В 3-х ч. Ч.1 (для слабовидящих обучающихся);Шпикалова Т.Я. (1-4);;2016;1210,00;;Перспектива
1.1.5.1.10.4;Перспектива;31-0239-01;4;Шпикалова Т. Я., Ершова Л. В.;Изобразительное искусство. 4 класс. В 3-х ч. Ч.2 (для слабовидящих обучающихся);Шпикалова Т.Я. (1-4);;2016;1210,00;;Перспектива
1.1.5.1.10.4;Перспектива;31-0240-01;4;Шпикалова Т. Я., Ершова Л. В.;Изобразительное искусство. 4 класс. В 3-х ч. Ч.3 (для слабовидящих обучающихся);Шпикалова Т.Я. (1-4);;2016;990,00;;Перспектива
1.1.5.2.5.1;Перспектива/ Школа России;30-0151-01;1;Критская Е. Д., Сергеева Г. П., Шмагина Т. С.;Музыка. 1 класс (для слабовидящих обучающихся);Критская Е.Д. (1-4);;2016;550,00;;Перспектива/ Школа России
1.1.5.2.5.2;Перспектива/ Школа России;30-0145-01;2;Критская Е. Д., Сергеева Г. П., Шмагина Т. С.;Музыка. 2 класс. В 2-х ч. Ч.1 (для слабовидящих обучающихся);Критская Е.Д. (1-4);;2016;880,00;;Перспектива/ Школа России
1.1.5.2.5.2;Перспектива/ Школа России;30-0146-01;2;Критская Е. Д., Сергеева Г. П., Шмагина Т. С.;Музыка. 2 класс. В 2-х ч. Ч.2 (для слабовидящих обучающихся);Критская Е.Д. (1-4);;2016;880,00;;Перспектива/ Школа России
1.1.5.2.5.3;Перспектива/ Школа России;30-0147-01;3;Критская Е. Д., Сергеева Г. П., Шмагина Т. С.;Музыка. 3 класс. В 2-х ч. Ч.1 (для слабовидящих обучающихся);Критская Е.Д. (1-4);;2016;990,00;;Перспектива/ Школа России
1.1.5.2.5.3;Перспектива/ Школа России;30-0148-01;3;Критская Е. Д., Сергеева Г. П., Шмагина Т. С.;Музыка. 3 класс. В 2-х ч. Ч.2 (для слабовидящих обучающихся);Критская Е.Д. (1-4);;2016;990,00;;Перспектива/ Школа России
1.1.5.2.5.4;Перспектива/ Школа России;30-0138-01;4;Критская Е. Д., Сергеева Г. П., Шмагина Т. С.;Музыка. 4 класс. В 3-х ч. Ч.1 (для слабовидящих обучающихся);Критская Е.Д. (1-4);;2016;990,00;;Перспектива/ Школа России
1.1.5.2.5.4;Перспектива/ Школа России;30-0139-01;4;Критская Е. Д., Сергеева Г. П., Шмагина Т. С.;Музыка. 4 класс. В 3-х ч. Ч.2 (для слабовидящих обучающихся);Критская Е.Д. (1-4);;2016;990,00;;Перспектива/ Школа России
1.1.5.2.5.4;Перспектива/ Школа России;30-0140-01;4;Критская Е. Д., Сергеева Г. П., Шмагина Т. С.;Музыка. 4 класс. В 3-х ч. Ч.3 (для слабовидящих обучающихся);Критская Е.Д. (1-4);;2016;770,00;;Перспектива/ Школа России
1.1.6.1.4.1;Школа России;22-0363-01;1;Лутцева Е. А., Зуева Т. П.;Технология. 1 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Лутцева Е.А. (1-4);;2016;1210,00;;Школа России
1.1.6.1.4.1;Школа России;22-0364-01;1;Лутцева Е. А., Зуева Т. П.;Технология. 1 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Лутцева Е.А. (1-4);;2016;1210,00;;Школа России
1.1.6.1.4.2;Школа России;22-0365-01;2;Лутцева Е. А., Зуева Т. П.;Технология. 2 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Лутцева Е.А. (1-4);;2016;1485,00;;Школа России
1.1.6.1.4.2;Школа России;22-0366-01;2;Лутцева Е. А., Зуева Т. П.;Технология. 2 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Лутцева Е.А. (1-4);;2016;1485,00;;Школа России
1.1.6.1.4.3;Школа России;22-0367-01;3;Лутцева Е. А., Зуева Т. П.;Технология. 3 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Лутцева Е.А. (1-4);;2016;1265,00;;Школа России
1.1.6.1.4.3;Школа России;22-0368-01;3;Лутцева Е. А., Зуева Т. П.;Технология. 3 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Лутцева Е.А. (1-4);;2016;1265,00;;Школа России
1.1.6.1.4.4;Школа России;22-0369-01;4;Лутцева Е. А., Зуева Т. П.;Технология. 4 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Лутцева Е.А. (1-4);;2016;1210,00;;Школа России
1.1.6.1.4.4;Школа России;22-0370-01;4;Лутцева Е. А., Зуева Т. П.;Технология. 4 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Лутцева Е.А. (1-4);;2016;1210,00;;Школа России
1.1.6.1.9.1;Перспектива;22-0355-01;1;Роговцева Н. И., Богданова Н. В., Фрейтаг И. П.;Технология. 1 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Роговцева Н.И. (1-4);;2016;770,00;;Перспектива
1.1.6.1.9.1;Перспектива;22-0356-01;1;Роговцева Н. И., Богданова Н. В., Фрейтаг И. П.;Технология. 1 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Роговцева Н.И. (1-4);;2016;660,00;;Перспектива
1.1.6.1.9.2;Перспектива;22-0357-01;2;Роговцева Н. И., Богданова Н. В., Добромыслова Н. В.;Технология. 2 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Роговцева Н.И. (1-4);;2016;1320,00;;Перспектива
1.1.6.1.9.2;Перспектива;22-0358-01;2;Роговцева Н. И., Богданова Н. В., Добромыслова Н. В.;Технология. 2 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Роговцева Н.И. (1-4);;2016;1320,00;;Перспектива
1.1.6.1.9.3;Перспектива;22-0359-01;3;Роговцева Н. И., Богданова Н. В., Добромыслова Н. В.;Технология. 3 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Роговцева Н.И. (1-4);;2016;1650,00;;Перспектива
1.1.6.1.9.3;Перспектива;22-0360-01;3;Роговцева Н. И., Богданова Н. В., Добромыслова Н. В.;Технология. 3 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Роговцева Н.И. (1-4);;2016;1320,00;;Перспектива
1.1.6.1.9.4;Перспектива;22-0361-01;4;Роговцева Н. И., Богданова Н. В., Шипилова Н. В. и др.;Технология. 4 класс. В 2 ч. Ч.1 (для слабовидящих обучающихся);Роговцева Н.И. (1-4);;2016;1540,00;;Перспектива
1.1.6.1.9.4;Перспектива;22-0362-01;4;Роговцева Н. И., Богданова Н. В., Шипилова Н. В. и др.;Технология. 4 класс. В 2 ч. Ч.2 (для слабовидящих обучающихся);Роговцева Н.И. (1-4);;2016;1430,00;;Перспектива
1.1.7.1.3.1;Школа России;33-0157-01; 1 - 4;Лях В. И.;Физическая культура. 1-4 классы. В 2-х ч. Ч. 1 (для слабовидящих обучающихся);Лях В.И. (1-4);;2016;715,00;;Школа России
1.1.7.1.3.1;Школа России;33-0158-01; 1 - 4;Лях В. И.;Физическая культура. 1-4 классы. В 2-х ч. Ч. 2 (для слабовидящих обучающихся);Лях В.И. (1-4);;2016;825,00;;Школа России
1.1.7.1.4.2;Перспектива;33-0148-01;2;Матвеев А. П.;Физическая культура. 2 класс (для слабовидящих обучающихся);Матвеев А.П. (1-4);;2016;1265,00;;Перспектива
1.2.1.1.4.1;;11-0939-01;5;Ладыженская Т. А., Баранов М. Т., Тростенцова Л. А. и др.;Русский язык. 5 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.1;;11-0940-01;5;Ладыженская Т. А., Баранов М. Т., Тростенцова Л. А. и др.;Русский язык. 5 класс. В 4-х ч. Ч.2 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.1;;11-0941-01;5;Ладыженская Т. А., Баранов М. Т., Тростенцова Л. А. и др.;Русский язык. 5 класс. В 4-х ч. Ч.3 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.1;;11-0942-01;5;Ладыженская Т. А., Баранов М. Т., Тростенцова Л. А. и др.;Русский язык. 5 класс. В 4-х ч. Ч.4 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.2;;11-0944-01;6;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др.;Русский язык. 6 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.2;;11-0945-01;6;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др.;Русский язык. 6 класс. В 4-х ч. Ч.2 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.2;;11-0947-01;6;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др.;Русский язык. 6 класс. В 4-х ч. Ч.3 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.2;;11-0949-01;6;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др.;Русский язык. 6 класс. В 4-х ч. Ч.4 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.3;;11-0952-01;7;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др.;Русский язык. 7 класс. В 2-х ч. Ч.1 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;880,00;;
1.2.1.1.4.3;;11-0954-01;7;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др.;Русский язык. 7 класс. В 2-х ч. Ч.2 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;770,00;;
1.2.1.1.4.4;;11-0955-01;8;Тростенцова Л. А., Ладыженская Т. А., Дейкина А. Д. и др.;Русский язык. 8 класс. В 2-х ч. Ч.1 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;990,00;;
1.2.1.1.4.4;;11-0956-01;8;Тростенцова Л. А., Ладыженская Т. А., Дейкина А. Д. и др.;Русский язык. 8 класс. В 2-х ч. Ч.2 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;990,00;;
1.2.1.1.4.5;;11-0957-01;9;Тростенцова Л. А., Ладыженская Т. А., Дейкина А. Д. и др.;Русский язык. 9 класс. В 2-х ч. Ч.1 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;770,00;;
1.2.1.1.4.5;;11-0958-01;9;Тростенцова Л. А., Ладыженская Т. А., Дейкина А. Д. и др.;Русский язык. 9 класс. В 2-х ч. Ч.2 (для слабовидящих обучающихся);Ладыженская Т.А. (5-9);;2016;770,00;;
1.2.1.1.6.1;;11-0930-01;5; Рыбченкова Л.М., Александрова О.М., Глазков А.В. и др.;Русский язык. 5 класс. В 3-х ч. Ч.1 (для слабовидящих обучающихся);Рыбченкова Л.М. (5-9);;2016;1320,00;;
1.2.1.1.6.1;;11-0931-01;5;Рыбченкова Л. М., Александрова О. М., Глазков А. В. и др.;Русский язык. 5 класс. В 3-х ч. Ч.2 (для слабовидящих обучающихся);Рыбченкова Л.М. (5-9);;2016;1320,00;;
1.2.1.1.6.1;;11-0933-01;5;Рыбченкова Л. М., Александрова О. М., Глазков А. В. и др.;Русский язык. 5 класс. В 3-х ч. Ч.3 (для слабовидящих обучающихся);Рыбченкова Л.М. (5-9);;2016;1320,00;;
1.2.1.1.6.3;;11-0934-01;7;Рыбченкова Л. М., Александрова О. М., Загоровская О. В. и др.;Русский язык. 7 класс. В 2-х ч. Ч.1 (для слабовидящих обучающихся);Рыбченкова Л.М. (5-9);;2016;1320,00;;
1.2.1.1.6.3;;11-0935-01;7;Рыбченкова Л. М., Александрова О. М., Загоровская О. В. и др.;Русский язык. 7 класс. В 2-х ч. Ч.2 (для слабовидящих обучающихся);Рыбченкова Л.М. (5-9);;2016;1320,00;;
1.2.1.2.1.1;;12-0744-01;5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 5 класс. В 5-и ч. Ч.1 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.1;;12-0745-01;5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 5 класс. В 5-и ч. Ч.2 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.1;;12-0746-01;5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 5 класс. В 5-и ч. Ч.3 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.1;;12-0747-01;5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 5 класс. В 5-и ч. Ч.4 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.1;;12-0748-01;5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 5 класс. В 5-и ч. Ч.5 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;660,00;;
1.2.1.2.1.2;;12-0749-01;6;Полухина В. П., Коровина В. Я., Журавлев В. П. и др.;Литература. 6 класс. В 5-и ч. Ч.1 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.2;;12-0750-01;6;Полухина В. П., Коровина В. Я., Журавлев В. П. и др.;Литература. 6 класс. В 5-и ч. Ч.2 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.2;;12-0751-01;6;Полухина В. П., Коровина В. Я., Журавлев В. П. и др.;Литература. 6 класс. В 5-и ч. Ч.3 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.2;;12-0752-01;6;Полухина В. П., Коровина В. Я., Журавлев В. П. и др.;Литература. 6 класс. В 5-и ч. Ч.4 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.2;;12-0753-01;6;Полухина В. П., Коровина В. Я., Журавлев В. П. и др.;Литература. 6 класс. В 5-и ч. Ч.5 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;660,00;;
1.2.1.2.1.3;;12-0754-01;7;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 7 класс. В 5-и ч. Ч.1 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;990,00;;
1.2.1.2.1.3;;12-0755-01;7;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 7 класс. В 5-и ч. Ч.2 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;990,00;;
1.2.1.2.1.3;;12-0756-01;7;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 7 класс. В 5-и ч. Ч.3 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;990,00;;
1.2.1.2.1.3;;12-0757-01;7;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 7 класс. В 5-и ч. Ч.4 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;990,00;;
1.2.1.2.1.3;;12-0758-01;7;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 7 класс. В 5-и ч. Ч.5 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.4;;12-0759-01;8;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 8 класс. В 6-и ч. Ч.1 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.4;;12-0760-01;8;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 8 класс. В 6-и ч. Ч.2 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.4;;12-0761-01;8;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 8 класс. В 6-и ч. Ч.3 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.4;;12-0762-01;8;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 8 класс. В 6-и ч. Ч.4 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.4;;12-0763-01;8;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 8 класс. В 6-и ч. Ч.5 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.4;;12-0764-01;8;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 8 класс. В 6-и ч. Ч.4 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.5;;12-0765-01;9;Коровина В.Я., Журавлёв В.П., Коровин В.И. и др. ;Литература. 9 класс. В 6-и ч. Ч.1 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.5;;12-0766-01;9;Коровина В.Я., Журавлёв В.П., Коровин В.И. и др. ;Литература. 9 класс. В 6-и ч. Ч.2 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.5;;12-0767-01;9;Коровина В.Я., Журавлёв В.П., Коровин В.И. и др. ;Литература. 9 класс. В 6-и ч. Ч.3 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.5;;12-0768-01;9;Коровина В.Я., Журавлёв В.П., Коровин В.И. и др. ;Литература. 9 класс. В 6-и ч. Ч.4 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.5;;12-0769-01;9;Коровина В.Я., Журавлёв В.П., Коровин В.И. и др. ;Литература. 9 класс. В 6-и ч. Ч.5 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.1.5;;12-0770-01;9;Коровина В.Я., Журавлёв В.П., Коровин В.И. и др. ;Литература. 9 класс. В 6-и ч. Ч.6 (для слабовидящих обучающихся);Коровина В.Я. (5-9);;2016;880,00;;
1.2.1.2.7.3;;12-0729-01;7;Чертов В. Ф., Трубина Л. А., Ипполитова Н. А. и др.;Литература. 7 класс. В 5-и ч. Ч.1 (для слабовидящих обучающихся);Чертов В.Ф. (5-9);;2016;1540,00;;
1.2.1.2.7.3;;12-0730-01;7;Чертов В. Ф., Трубина Л. А., Ипполитова Н. А. и др.;Литература. 7 класс. В 5-и ч. Ч.2 (для слабовидящих обучающихся);Чертов В.Ф. (5-9);;2016;1540,00;;
1.2.1.2.7.3;;12-0731-01;7;Чертов В. Ф., Трубина Л. А., Ипполитова Н. А. и др.;Литература. 7 класс. В 5-и ч. Ч.3 (для слабовидящих обучающихся);Чертов В.Ф. (5-9);;2016;1540,00;;
1.2.1.2.7.3;;12-0732-01;7;Чертов В. Ф., Трубина Л. А., Ипполитова Н. А. и др.;Литература. 7 класс. В 5-и ч. Ч.4 (для слабовидящих обучающихся);Чертов В.Ф. (5-9);;2016;1540,00;;
1.2.1.2.7.3;;12-0733-01;7;Чертов В. Ф., Трубина Л. А., Ипполитова Н. А. и др.;Литература. 7 класс. В 5-и ч. Ч.5 (для слабовидящих обучающихся);Чертов В.Ф. (5-9);;2016;1540,00;;
1.2.1.3.3.1;;24-3409-01;5;Верещагина И. Н., Афанасьева О. В.;Английский язык. V класс. В 4-х ч.. Ч.1 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1265,00;;
1.2.1.3.3.1;;24-3410-01;5;Верещагина И. Н., Афанасьева О. В.;Английский язык. V класс. В 4-х ч.. Ч.2 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1265,00;;
1.2.1.3.3.1;;24-3411-01;5;Верещагина И. Н., Афанасьева О. В.;Английский язык. V класс. В 4-х ч.. Ч.3 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1265,00;;
1.2.1.3.3.1;;24-3412-01;5;Верещагина И. Н., Афанасьева О. В.;Английский язык. V класс. В 4-х ч.. Ч.4 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1265,00;;
1.2.1.3.3.2;;24-3427-01;6;Афанасьева О. В., Михеева И. В.;Английский язык. 6 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1210,00;;
1.2.1.3.3.2;;24-3428-01;6;Афанасьева О. В., Михеева И. В.;Английский язык. 6 класс. В 4-х ч. Ч.2 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1045,00;;
1.2.1.3.3.2;;24-3430-01;6;Афанасьева О. В., Михеева И. В.;Английский язык. 6 класс. В 4-х ч. Ч.3 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1045,00;;
1.2.1.3.3.2;;24-3432-01;6;Афанасьева О. В., Михеева И. В.;Английский язык. 6 класс. В 4-х ч. Ч.4 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1045,00;;
1.2.1.3.3.3;;24-3448-01;7;Афанасьева О. В., Михеева И. В.;Английский язык. 7 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1210,00;;
1.2.1.3.3.3;;24-3450-01;7;Афанасьева О. В., Михеева И. В.;Английский язык. 7 класс. В 4-х ч. Ч.2 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1210,00;;
1.2.1.3.3.3;;24-3452-01;7;Афанасьева О. В., Михеева И. В.;Английский язык. 7 класс. В 4-х ч. Ч.3 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1210,00;;
1.2.1.3.3.3;;24-3454-01;7;Афанасьева О. В., Михеева И. В.;Английский язык. 7 класс. В 4-х ч. Ч.4 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1210,00;;
1.2.1.3.3.4;;24-3460-01;8;Афанасьева О. В., Михеева И. В.;Английский язык. 8 класс.  В 4-х ч.  Ч.1 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1430,00;;
1.2.1.3.3.4;;24-3462-01;8;Афанасьева О. В., Михеева И. В.;Английский язык. 8 класс.  В 4-х ч.  Ч.1 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1430,00;;
1.2.1.3.3.4;;24-3463-01;8;Афанасьева О. В., Михеева И. В.;Английский язык. 8 класс.  В 4-х ч.  Ч.1 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1320,00;;
1.2.1.3.3.4;;24-3456-01;8;Афанасьева О. В., Михеева И. В.;Английский язык. 8 класс.  В 4-х ч.  Ч.1 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1320,00;;
1.2.1.3.3.5;;24-3467-01;9;Афанасьева О. В., Михеева И. В.;Английский язык. IX класс. В 3-х ч. Ч.1 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1320,00;;
1.2.1.3.3.5;;24-3470-01;9;Афанасьева О. В., Михеева И. В.;Английский язык. IX класс. В 3-х ч. Ч.2 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1320,00;;
1.2.1.3.3.5;;24-3471-01;9;Афанасьева О. В., Михеева И. В.;Английский язык. IX класс. В 3-х ч. Ч.3 (для слабовидящих обучающихся);Афанасьева О.В. (5-9);;2016;1210,00;;
1.2.1.3.8.1;;24-3431-01;5;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 5 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;1265,00;;
1.2.1.3.8.1;;24-3433-01;5;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 5 класс. В 4-х ч. Ч.2 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;1265,00;;
1.2.1.3.8.1;;24-3434-01;5;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 5 класс. В 4-х ч. Ч.3 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;1265,00;;
1.2.1.3.8.1;;24-3435-01;5;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 5 класс. В 4-х ч. Ч.4 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;1210,00;;
1.2.1.3.8.2;;24-3436-01;6;Кузовлев В. П., Лапа Н. М., Перегудова Э. Ш. и др.;Английский язык. 6 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;1210,00;;
1.2.1.3.8.2;;24-3437-01;6;Кузовлев В. П., Лапа Н. М., Перегудова Э. Ш. и др.;Английский язык. 6 класс. В 4-х ч. Ч.2 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;1210,00;;
1.2.1.3.8.2;;24-3438-01;6;Кузовлев В. П., Лапа Н. М., Перегудова Э. Ш. и др.;Английский язык. 6 класс. В 4-х ч. Ч.3 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;1210,00;;
1.2.1.3.8.2;;24-3439-01;6;Кузовлев В. П., Лапа Н. М., Перегудова Э. Ш. и др.;Английский язык. 6 класс. В 4-х ч. Ч.4 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;990,00;;
1.2.1.3.8.3;;24-3440-01;7;Кузовлев В. П., Лапа Н. М., Перегудова Э. Ш. и др.;Английский язык. 7 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Кузовлев В.П. (5-9);;2016;1430,00;;
