ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.2.4.1.8.2;VEN000000000428788;Вентана-Граф;8;УМК Хижняковой. Физика (7-9);Хижнякова Л. С., Синявина А. А.;Физика. 8 класс;75,00;0,18
1.2.4.1.8.3;VEN000000000428789;Вентана-Граф;9;УМК Хижняковой. Физика (7-9);Хижнякова Л. С., Синявина А. А.;Физика. 9 класс;75,00;0,18
1.2.4.2.10.1;VEN000000000428636;Вентана-Граф;5;УМК Суховой. Биология (Живая природа) (5-9);Сухова Т. С., Строганов В. И.;Биология. 5 класс;75,00;0,18
1.2.4.2.10.2;VEN000000000428840;Вентана-Граф;6;УМК Суховой. Биология (Живая природа) (5-9);Сухова Т. С., Дмитриева О. В.;Биология. 6 класс;75,00;0,18
1.2.4.2.10.3;VEN000000000428841;Вентана-Граф;7;УМК Суховой. Биология (Живая природа) (5-9);Сухова Т. С., Шаталова С. П.;Биология. 7 класс;75,00;0,18
1.2.4.2.10.4;VEN000000000428842;Вентана-Граф;8;УМК Суховой. Биология (Живая природа) (5-9);Каменский А. А., Сарычева Н. Ю., Сухова Т. С.;Биология. 8 класс;75,00;0,18
1.2.4.2.10.5;VEN000000000428839;Вентана-Граф;9;УМК Суховой. Биология (Живая природа) (5-9);Сухова Т. С., Сарычева Н. Ю., Шаталова С. П., Дмитриева Т. А.;Биология. 9 класс;75,00;0,18
1.2.4.2.13.6;VEN000000000428845;Вентана-Граф;5-6;УМК Пономаревой. Биология (Линейная) (5-9);Сухова Т. С., Строганов В. И.;Биология. 5-6 классы;75,00;0,18
1.2.4.2.13.7;VEN000000000428630;Вентана-Граф;7;УМК Пономаревой. Биология (Линейная) (5-9);Пономарёва И. Н., Корнилова О. А., Кучменко В. С.;Биология. 7 класс;75,00;0,18
1.2.4.2.13.8;VEN000000000428844;Вентана-Граф;8;УМК Пономаревой. Биология (Линейная) (5-9);Константинов В. М., Бабенко В. Г., Кучменко В. С.;Биология. 8 класс;75,00;0,18
1.2.4.2.13.9;VEN000000000428843;Вентана-Граф;9;УМК Пономаревой. Биология (Линейная) (5-9);Маш Р. Д., Драгомилов А. Г.;Биология. 9 класс;75,00;0,18
1.2.4.2.6.1;VEN000000000428616;Вентана-Граф;5;УМК Пономаревой. Биология (Концентрическая) (5-9);Пономарёва И. Н., Николаев И. В., Корнилова О. А.;Биология. 5 класс;75,00;0,18
1.2.4.2.6.2;VEN000000000428846;Вентана-Граф;6;УМК Пономаревой. Биология (Концентрическая) (5-9);Пономарёва И. Н., Корнилова О. А., Кучменко B. C.;Биология. 6 класс;75,00;0,18
1.2.4.2.6.3;VEN000000000428847;Вентана-Граф;7;УМК Пономаревой. Биология (Концентрическая) (5-9);Константинов В. М., Бабенко В. Г., Кучменко В. С.;Биология. 7 класс;75,00;0,18
1.2.4.2.6.4;VEN000000000428848;Вентана-Граф;8;УМК Пономаревой. Биология (Концентрическая) (5-9);Драгомилов А. Г., Маш Р. Д.;Биология. 8 класс;75,00;0,18
1.2.4.2.6.5;VEN000000000428849;Вентана-Граф;9;УМК Пономаревой. Биология (Концентрическая) (5-9);Пономарёва И. Н., Корнилова О. А., Чернова Н. М.;Биология. 9 класс;75,00;0,18
1.2.4.3.5.1;VEN000000000428610;Вентана-Граф;8;УМК Кузнецовой. Химия (8-9);Кузнецова Н. Е., Титова И. М., Гара Н. Н.;Химия. 8 класс;75,00;0,18
1.2.4.3.5.2;VEN000000000428613;Вентана-Граф;9;УМК Кузнецовой. Химия (8-9);Кузнецова Н. Е., Титова И. М., Гара Н. Н.;Химия. 9 класс;75,00;0,18
1.2.5.1.2.1;VEN000000000428299;Вентана-Граф;5;УМК Ермолинской. ИЗО (5-7);Ермолинская Е. А., Медкова Е. С., Савенкова Л. Г.;Изобразительное искусство. 5 класс;75,00;0,18
1.2.5.1.2.2;VEN000000000428303;Вентана-Граф;6;УМК Ермолинской. ИЗО (5-7);Ермолинская Е. А., Медкова Е. С., Савенкова Л. Г.;Изобразительное искусство. 6 класс;75,00;0,18
1.2.5.1.2.3;VEN000000000428881;Вентана-Граф;7;УМК Ермолинской. ИЗО (5-7);Ермолинская Е. А., Медкова Е. С., Савенкова Л. Г.;Изобразительное искусство. 7 класс;75,00;0,18
1.2.5.1.2.4;VEN000000000430057;Вентана-Граф;8;;Ермолинская Е. А., Савенкова Л. Г., Савенкова Л. Г.;Изобразительное искусство. 8 класс;75,00;0,18
1.2.5.2.4.1;VEN000000000428316;Вентана-Граф;5;УМК Школяр. Музыка (5-8);Усачёва В. О., Школяр Л. В.;Музыка. 5 класс;75,00;0,18
1.2.5.2.4.2;VEN000000000428320;Вентана-Граф;6;УМК Школяр. Музыка (5-8);Усачёва В. О., Школяр Л. В.;Музыка. 6 класс;75,00;0,18
1.2.5.2.4.3;VEN000000000428323;Вентана-Граф;7;УМК Школяр. Музыка (5-8);Усачёва В. О., Школяр Л. В.;Музыка. 7 класс;75,00;0,18
1.2.6.1.4.1;VEN000000000428324;Вентана-Граф;5;Линия УМК И. А. Сасовой. Технология (Метод проектов) (5-8);Сасова И.А., Павлова М.Б., Гуревич М.И., Дж. Питт. / Под ред. Сасовой И.А.;Технология. 5 класс;75,00;0,18
1.2.6.1.4.2;VEN000000000428325;Вентана-Граф;6;Линия УМК И. А. Сасовой. Технология (Метод проектов) (5-8);Сасова И.А., Павлова М.Б., Гуревич М.И. / Под ред. Сасовой И.А.;Технология. Технологии ведения дома. 6 класс;75,00;0,18
1.2.6.1.4.3;VEN000000000428326;Вентана-Граф;6;Линия УМК И. А. Сасовой. Технология (Метод проектов) (5-8);Сасова И.А., Гуревич М.И., Павлова М.Б. / Под ред. Сасовой И.А.;Технология. Индустриальные технологии. 6 класс;75,00;0,18
1.2.6.1.4.4 ;VEN000000000428327;Вентана-Граф;7;Линия УМК И. А. Сасовой. Технология (Метод проектов) (5-8);Сасова И.А., Павлова М.Б., Шарутина А.Ю., Гуревич М.И. / Под ред. Сасовой И.А.;Технология. Технологии ведения дома. 7 класс;75,00;0,18
1.2.6.1.4.5;VEN000000000428328;Вентана-Граф;7;Линия УМК И. А. Сасовой. Технология (Метод проектов) (5-8);Сасова И.А., Гуревич М.И., Павлова М.Б. / Под ред. Сасовой И.А.;Технология. Индустриальные технологии. 7 класс;75,00;0,18
1.2.6.1.4.6;VEN000000000428329;Вентана-Граф;8;Линия УМК И. А. Сасовой. Технология (Метод проектов) (5-8);Сасова И А., Леонтьев А.В., Капустин В.С. / Под ред. Сасовой И.А.;Технология. 8 класс;75,00;0,18
1.2.6.1.5.2;VEN000000000428712;Вентана-Граф;6;;Синица Н. В., Самородский П. С., Симоненко В. Д., Яковенко О. В.;Технология. 6 класс;75,00;0,18
1.2.6.1.5.3;VEN000000000428714;Вентана-Граф;7;;Синица Н. В., Самородский П. С., Симоненко В. Д., Яковенко О. В.;Технология. 7 класс;75,00;0,18
1.2.6.1.5.4;VEN000000000005635;Вентана-Граф;8;;Матяш Н. В., Симоненко В. Д., Электов А. А.;Технология. 8 класс;75,00;0,18
1.2.6.1.6.1;VEN000000000430058;Вентана-Граф;5;;Симоненко В. Д., Синица Н. В.;Технология. Технологии ведения дома. 5 класс;75,00;0,18
1.2.6.1.6.2;VEN000000000428699;Вентана-Граф;5;УМК Тищенко-Синицы. Технология (5-9);Синица Н. В., Самородский П. С., Симоненко В. Д., Яковенко О. В.;Технология. 5 класс;75,00;0,18
1.2.6.1.6.3;VEN000000000005809;Вентана-Граф;6;;Синица Н. В., Симоненко В. Д.;Технология. Технологии ведения дома. 6 класс;75,00;0,18
1.2.6.1.6.4;VEN000000000428702;Вентана-Граф;6;УМК Тищенко-Синицы. Технология (5-9);Тищенко А. Т., Симоненко В. Д.;Технология. Индустриальные технологии. 6 класс;75,00;0,18
1.2.6.1.6.5;VEN000000000005624;Вентана-Граф;7;;Синица Н. В., Симоненко В. Д.;Технология. Технологии ведения дома. 7 класс;75,00;0,18
1.2.6.1.6.6;VEN000000000428704;Вентана-Граф;7;УМК Тищенко-Синицы. Технология (5-9);Тищенко А. Т., Симоненко В. Д.;Технология. Индустриальные технологии. 7 класс;75,00;0,18
1.2.6.1.6.7;VEN000000000005813;Вентана-Граф;8;;Симоненко В. Д., Электов А. А., Очинин О. П., Гончаров Б. А., Елисеева Е. В., Богатырев А. Н.;Технология. 8 класс;75,00;0,18
1.2.7.1.4.1;VEN000000000428652;Вентана-Граф;5-6-7;;Копылов Ю. А., Полянская Н. В., Петрова Т. В.;Физическая культура. 5-7 классы;75,00;0,18
1.2.7.1.4.2;VEN000000000428657;Вентана-Граф;8-9;;Копылов Ю. А., Петрова В. И., Полянская Н. В.;Физическая культура. 8-9 классы;75,00;0,18
1.2.7.2.1.1;VEN000000000430077;Вентана-Граф;5-6;;Виноградова Н. Ф., Смирнов Д. В., Таранин А. Б.;Основы безопасности жизнедеятельности. 5-6 классы;75,00;0,18
1.2.7.2.1.2;VEN000000000430078;Вентана-Граф;7-8-9;;Виноградова Н. Ф., Смирнов Д. В., Таранин А. Б., Сидоренко Л. В.;Основы безопасности жизнедеятельности. 7-9 классы;75,00;0,18
1.3.1.1.4.1;VEN000000000428831;Вентана-Граф;10;УМК Гусаровой. Русский язык (10-11) (БУ);Гусарова И. В.;Русский язык. 10 класс;75,00;0,18
1.3.1.1.4.2;VEN000000000428832;Вентана-Граф;11;УМК Гусаровой. Русский язык (10-11) (БУ);Гусарова И. В.;Русский язык и литература. Русский язык. Базовый и углублённый уровни. 11 класс.;75,00;0,18
1.3.1.1.4.3;VEN000000000428822;Вентана-Граф;10;;Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. Базовый и углублённый уровни. 10 класс;75,00;0,18
1.3.1.1.4.4;VEN000000000428355;Вентана-Граф;11;;Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. 11 класс;75,00;0,18
1.3.2.1.3.1;VEN000000000428190;Вентана-Граф;10;"УМК Вербицкой. Английский язык ""Forward"" (10-11) (Б)";Вербицкая М. В., Маккинли С., Хастингс Б., Каминс К. Д., Парсонс Д., Миндрул О. С.;Английский язык. Базовый уровень. 10 класс;75,00;0,18
1.3.2.1.3.2;VEN000000000428193;Вентана-Граф;11;"УМК Вербицкой. Английский язык ""Forward"" (10-11) (Б)";Вербицкая М. В., Каминс К. Д., Парсонс Д., Миндрул О. С.;Английский язык. Базовый уровень. 11 класс;75,00;0,18
1.3.2.3.1.1;VEN000000000429795;Вентана-Граф;10;;Дорофеева Н. С., Красова Г. А.;Итальянский язык. Базовый уровень. 10 класс;75,00;0,18
1.3.2.3.1.2;VEN000000000429794;Вентана-Граф;11;;Красова Г. А., Дорофеева Н. С.;Итальянский язык. Базовый уровень. 11 класс;75,00;0,18
1.3.3.1.4.1;VEN000000000430095;Вентана-Граф;10;;Климов О. Ю., Земляницин В. А., Носков В. В., Искровская Л. В., Мясников В. С.;Всеобщая история. История. 10 класс;75,00;0,18
1.3.3.1.4.2;VEN000000000430097;Вентана-Граф;11;;Пленков О. Ю., Андреевская Т. П., Шевченко С. В., Мясников В. С.;Всеобщая история. История. 11 класс;75,00;0,18
1.3.3.3.2.1;VEN000000000428922;Вентана-Граф;10;УМК Соболевой. Обществознание (10-11);Соболева О. Б., Барабанов В. В., Кошкина С. Г., Малявин С. Н., Бордовский Г. А.;Обществознание. Базовый уровень. 10 класс;75,00;0,18
1.3.3.3.2.2;VEN000000000428276;Вентана-Граф;11;УМК Соболевой. Обществознание (10-11);Воронцов А. В., Королёва Г. Э., Наумов С. А., Романов К. С., Бордовский Г. А.;Обществознание. Базовый уровень. 11 класс;75,00;0,18
1.3.3.4.1.1;VEN000000000428817;Вентана-Граф;10-11;УМК Дронова. География (Роза ветров) (10-11) (Б);Бахчиева О. А., Дронов В. П.;География. 10-11 классы;75,00;0,18
1.3.3.6.4.1;VEN000000000428291;Вентана-Граф;10-11;УМК Королёвой. Экономика (10-11);Королёва Г. Э., Бурмистрова Т. В.;Экономика. Базовый уровень. 10-11 классы;75,00;0,18
1.3.5.1.2.1;VEN000000000428821;Вентана-Граф;10;УМК Грачева. Физика (10-11) (БУ);Грачев А. В., Погожев В. А., Салецкий А. М., Боков П. Ю.;Физика. 10 класс;75,00;0,18
1.3.5.1.2.2;VEN000000000428820;Вентана-Граф;11;УМК Грачева. Физика (10-11) (БУ);Грачев А. В., Погожев В. А., Салецкий А. М., Боков П. Ю.;Физика. 11 класс;75,00;0,18
1.3.5.1.8.1;VEN000000000428819;Вентана-Граф;10;УМК Хижняковой. Физика (10-11) (БУ);Хижнякова Л. С., Синявина А. А., Холина В. Н., Кудрявцев В. В.;Физика. 10 класс;75,00;0,18
1.3.5.1.8.2;VEN000000000428818;Вентана-Граф;11;УМК Хижняковой. Физика (10-11) (БУ);Хижнякова Л. С., Синявина А. А., Холина В. Н., Кудрявцев В. В.;Физика. 11 класс;75,00;0,18
1.3.5.3.3.1;VEN000000000429470;Вентана-Граф;10;УМК Кузнецовой. Химия (10-11) (Б);Кузнецова Н. Е., Гара Н. Н.;Химия. Базовый уровень. 10 класс;75,00;0,18
1.3.5.3.3.2;VEN000000000429471;Вентана-Граф;11;УМК Кузнецовой. Химия (10-11) (Б);Кузнецова Н. Е., Левкин А. Н., Шаталов М. А.;Химия. Базовый уровень. 11 класс;75,00;0,18
1.3.5.4.3.1;VEN000000000429472;Вентана-Граф;10;УМК Кузнецовой. Химия (10-11) (У);Кузнецова Н. Е., Гара Н. Н., Титова И. М.;Химия. Углубленный уровень. 10 класс;75,00;0,18
1.3.5.5.5.1;VEN000000000429475;Вентана-Граф;10;УМК Суховой. Биология (Живая природа) (10-11) (Б);Каменский А. А., Исакова С. Н., Сарычева Н. Ю.;Биология. Базовый уровень. 10 класс;75,00;0,18
1.3.5.5.5.2;VEN000000000429476;Вентана-Граф;11;УМК Суховой. Биология (Живая природа) (10-11) (Б);Исакова С. Н., Сарычева Н. Ю., Каменский А. А.;Биология. Базовый уровень. 11 класс;75,00;0,18
1.3.5.5.6.1;VEN000000000429477;Вентана-Граф;10;УМК Пономаревой. Биология. Базовый уровень (10-11);Пономарёва И. Н., Корнилова О. А., Лощилина Т. Е.;Биология. Базовый уровень. 10 класс;75,00;0,18
1.3.5.5.6.2;VEN000000000429478;Вентана-Граф;11;УМК Пономаревой. Биология. Базовый уровень (10-11);Пономарёва И. Н., Корнилова О. А., Лощилина Т. Е., Ижевский П. В.;Биология. Базовый уровень. 11 класс;75,00;0,18
1.3.5.6.3.1;VEN000000000429479;Вентана-Граф;10;УМК Пономаревой. Биология. Углубленный уровень (10-11);Пономарёва И. Н., Корнилова О. А., Симонова Л. В.;Биология. Углубленный уровень. 10 класс;75,00;0,18
1.3.5.6.3.2;VEN000000000429480;Вентана-Граф;11;УМК Пономаревой. Биология. Углубленный уровень (10-11);Пономарёва И. Н., Корнилова О. А., Симонова Л. В.;Биология. Углубленный уровень. 11 класс;75,00;0,18
1.3.6.1.3.1;VEN000000000429482;Вентана-Граф;10-11;УМК Матвеева. Физическая культура (10-11);Матвеев А. П., Палехова Е. С.;Физическая культура. 10-11 классы;75,00;0,18
1.3.6.2.3.1;VEN000000000429469;Вентана-Граф;10-11;УМК Миркина. Экология (10-11);Суматохин С. В., Миркин Б. М., Наумова Л. Г.;Экология. 10-11 классы;75,00;0,18
1.3.6.3.1.1;VEN000000000429481;Вентана-Граф;10-11;УМК Алексеева. ОБЖ (10-11);Алексеев С. В., Данченко С. П., Костецкая Г. А., Ладнов С. Н.;Основы безопасности жизнедеятельности. 10-11 классы;75,00;0,18
2.2.4.1.1.1;VEN000000000428878;Вентана-Граф;5;УМК Виноградовой. ОДНК (5);Виноградова Н. Ф., Власенко В. И., Поляков А. В.;Основы духовно-нравственной культуры народов России. 5 класс;75,00;0,18
2.3.2.1.1.1;VEN000000000429483;Вентана-Граф;10-11;УМК Симоненко. Технология (10-11) (Б);Симоненко В. Д., Очинин О. П., Матяш Н. В.;Технология. Базовый уровень. 10-11 классы;75,00;0,18
99.99.99.99.99.99;VEN000000000000000;Вентана-Граф;4;;Виноградова Н. Ф., Власенко В. И., Поляков А. В.;Основы религиозных культур и светской этики. 4 класс. Часть 1;75,00;0,18
