ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.1.2.1.10.2;VEN000000000428130;Вентана-Граф;2;УМК Рудницкой. Математика (1-4);Рудницкая В. Н., Юдачева Т. В.;Математика. 2 класс. Часть 2;75,00;0,18
1.1.2.1.10.3;VEN000000000428131;Вентана-Граф;3;УМК Рудницкой. Математика (1-4);Рудницкая В. Н., Юдачева Т. В.;Математика. 3 класс. Часть 1;75,00;0,18
1.1.2.1.10.3;VEN000000000428132;Вентана-Граф;3;УМК Рудницкой. Математика (1-4);Рудницкая В. Н., Юдачева Т. В.;Математика. 3 класс. Часть 2;75,00;0,18
1.1.2.1.10.4;VEN000000000428134;Вентана-Граф;4;УМК Рудницкой. Математика (1-4);Рудницкая В. Н., Юдачева Т. В.;Математика. 4 класс. Часть 2;75,00;0,18
1.1.2.1.7.1;VEN000000000428471;Вентана-Граф;1;УМК Минаевой. Математика (1-4);Минаева С. С., Рослова Л. О., Рыдзе О. А., Федорова Л. И., Булычев В. А.;Математика. 1 класс. Часть 1;75,00;0,18
1.1.2.1.7.1;VEN000000000428472;Вентана-Граф;1;УМК Минаевой. Математика (1-4);Минаева С. С., Рослова Л. О., Рыдзе О. А., Федорова Л. И., Булычев В. А.;Математика. 1 класс. Часть 2;75,00;0,18
1.1.2.1.7.2;VEN000000000428477;Вентана-Граф;2;УМК Минаевой. Математика (1-4);Минаева С. С., Рослова Л. О., Рыдзе О. А., Булычев В. А.;Математика. 2 класс. Часть 1;75,00;0,18
1.1.2.1.7.2;VEN000000000428478;Вентана-Граф;2;УМК Минаевой. Математика (1-4);Минаева С. С., Рослова Л. О., Рыдзе О. А., Булычев В. А.;Математика. 2 класс. Часть 2;75,00;0,18
1.1.2.1.7.3;VEN000000000428482;Вентана-Граф;3;УМК Минаевой. Математика (1-4);Минаева С. С., Рослова Л. О., Рыдзе О. А., Булычев В. А.;Математика. 3 класс. Часть 1;75,00;0,18
1.1.2.1.7.3;VEN000000000428483;Вентана-Граф;3;УМК Минаевой. Математика (1-4);Минаева С. С., Рослова Л. О., Рыдзе О. А., Булычев В. А.;Математика. 3 класс. Часть 2;75,00;0,18
1.1.2.1.7.4;VEN000000000428133;Вентана-Граф;4;УМК Рудницкой. Математика (1-4);Рудницкая В. Н., Юдачева Т. В.;Математика. 4 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;VEN000000000428487;Вентана-Граф;4;УМК Минаевой. Математика (1-4);Минаева С. С., Рослова Л. О., Булычев В. А.;Математика. 4 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;VEN000000000428488;Вентана-Граф;4;УМК Минаевой. Математика (1-4);Минаева С. С., Рослова Л. О., Булычев В. А.;Математика. 4 класс. Часть 2;75,00;0,18
1.1.3.1.1.1;VEN000000000428147;Вентана-Граф;1;УМК Виноградовой. Окружающий мир (1-4);Виноградова Н. Ф.;Окружающий мир. 1 класс. Часть 1;75,00;0,18
1.1.3.1.1.1;VEN000000000428148;Вентана-Граф;1;УМК Виноградовой. Окружающий мир (1-4);Виноградова Н. Ф.;Окружающий мир. 1 класс. Часть 2;75,00;0,18
1.1.3.1.1.2;VEN000000000428149;Вентана-Граф;2;УМК Виноградовой. Окружающий мир (1-4);Виноградова Н. Ф.;Окружающий мир. 2 класс. Часть 1;75,00;0,18
1.1.3.1.1.2;VEN000000000428150;Вентана-Граф;2;УМК Виноградовой. Окружающий мир (1-4);Виноградова Н. Ф.;Окружающий мир. 2 класс. Часть 2;75,00;0,18
1.1.3.1.1.3;VEN000000000428151;Вентана-Граф;3;УМК Виноградовой. Окружающий мир (1-4);Виноградова Н. Ф., Калинова Г. С.;Окружающий мир. 3 класс. Часть 1;75,00;0,18
1.1.3.1.1.3;VEN000000000428152;Вентана-Граф;3;УМК Виноградовой. Окружающий мир (1-4);Виноградова Н. Ф., Калинова Г. С.;Окружающий мир. 3 класс. Часть 2;75,00;0,18
1.1.3.1.1.4;VEN000000000428153;Вентана-Граф;4;УМК Виноградовой. Окружающий мир (1-4);Виноградова Н. Ф., Калинова Г. С.;Окружающий мир. 4 класс. Часть 1;75,00;0,18
1.1.3.1.1.4;VEN000000000428154;Вентана-Граф;4;УМК Виноградовой. Окружающий мир (1-4);Виноградова Н. Ф., Калинова Г. С.;Окружающий мир. 4 класс. Часть 2;75,00;0,18
1.1.4.1.2.3;VEN000000000000001;Вентана-Граф;4;;Виноградова Н. Ф.;Основы православной культуры. 4 класс. Часть 2;75,00;0,18
1.1.4.1.2.4;VEN000000000000002;Вентана-Граф;4;;Виноградова Н. Ф., Власенко В. И., Поляков А. В.;Основы светской этики. 4 класс. Часть 2;75,00;0,18
1.1.4.1.2.5.;VEN000000000000003;Вентана-Граф;4;;Виноградова Н. Ф.;Основы мировых религиозных культур. 4 класс. Часть 2;75,00;0,18
1.1.5.1.7.1;VEN000000000428123;Вентана-Граф;1;УМК Ермолинской. ИЗО (1-4);Савенкова Л. Г., Ермолинская Е. А.;Изобразительное искусство. 1 класс;75,00;0,18
1.1.5.1.7.2;VEN000000000428124;Вентана-Граф;2;УМК Ермолинской. ИЗО (1-4);Савенкова Л. Г., Ермолинская Е. А.;Изобразительное искусство. 2 класс;75,00;0,18
1.1.5.1.7.3;VEN000000000428125;Вентана-Граф;3;;Савенкова Л. Г., Ермолинская Е. А.;Изобразительное искусство. 3 класс;75,00;0,18
1.1.5.1.7.4;VEN000000000428126;Вентана-Граф;4;УМК Ермолинской. ИЗО (1-4);Савенкова Л. Г., Ермолинская Е. А.;Изобразительное искусство. 4 класс;75,00;0,18
1.1.5.2.7.1;VEN000000000428135;Вентана-Граф;1;УМК Школяр. Музыка (1-4);Усачёва В. О., Школяр Л. В.;Музыка. 1 класс;75,00;0,18
1.1.5.2.7.2;VEN000000000428136;Вентана-Граф;2;УМК Школяр. Музыка (1-4);Усачёва В. О., Школяр Л. В.;Музыка. 2 класс;75,00;0,18
