IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
237840;231697;231698;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231697;105;;;
237841;231699;231700;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231699;105;;;
237842;231701;231702;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231701;105;;;
237843;231703;231704;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231703;105;;;
237844;231705;231706;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231705;105;;;
237845;231707;231708;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231707;105;;;
237846;231709;231710;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231709;105;;;
237847;231711;231712;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231711;105;;;
237848;231713;231714;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231713;105;;;
237849;231715;231716;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231715;105;;;
237850;231717;231718;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231717;105;;;
237851;231719;231720;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231719;105;;;
237852;231721;231722;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231721;105;;;
237853;231723;231724;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231723;105;;;
237854;231725;231726;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231725;105;;;
237855;231727;231728;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231727;105;;;
237856;231729;231730;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231729;105;;;
237857;231731;231732;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231731;105;;;
237858;231733;231734;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231733;105;;;
237859;231735;231736;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231735;105;;;
237860;231737;231738;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231737;105;;;
237861;231739;231740;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231739;105;;;
237862;231741;231742;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231741;105;;;
237863;231743;231744;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231743;105;;;
237864;231745;231746;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231745;105;;;
237865;231747;231748;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231747;105;;;
237866;231749;231750;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231749;105;;;
237867;231751;231752;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231751;105;;;
237868;231753;231754;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231753;105;;;
237869;231755;231756;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231755;105;;;
237870;231757;231758;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231757;105;;;
237871;231759;231760;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231759;105;;;
237872;231761;231762;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231761;105;;;
237873;231763;231764;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231763;105;;;
237874;231765;231766;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231765;105;;;
237875;231767;231768;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231767;105;;;
237876;231769;231770;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231769;105;;;
237877;231771;231772;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231771;105;;;
237878;231773;231774;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231773;105;;;
237879;231775;231776;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231775;105;;;
237880;231777;231778;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231777;105;;;
237881;231779;231780;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231779;105;;;
237882;231781;231782;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231781;105;;;
237883;231783;231784;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231783;105;;;
237884;231785;231786;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231785;105;;;
237885;231787;231788;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231787;105;;;
237886;231789;231790;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231789;105;;;
237887;231791;231792;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231791;105;;;
237888;231793;231794;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231793;105;;;
237889;231795;231796;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231795;105;;;
237890;231797;231798;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231797;105;;;
237891;231799;231800;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231799;105;;;
237892;231801;231802;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231801;105;;;
237893;231803;231804;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231803;105;;;
237894;231805;231806;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231805;105;;;
237895;231807;231808;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231807;105;;;
237896;231809;231810;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231809;105;;;
237897;231811;231812;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231811;105;;;
237898;231813;231814;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231813;105;;;
237899;231815;231816;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231815;105;;;
237900;231817;231818;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231817;105;;;
237901;231819;231820;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231819;105;;;
237902;231821;231822;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231821;105;;;
237903;231823;231824;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231823;105;;;
237904;231825;231826;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231825;105;;;
237905;231827;231828;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231827;105;;;
237906;231829;231830;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231829;105;;;
237907;231831;231832;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231831;105;;;
237908;231833;231834;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231833;105;;;
237909;231835;231836;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231835;105;;;
237910;231837;231838;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231837;105;;;
237911;231839;231840;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231839;105;;;
237912;231841;231842;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231841;105;;;
237913;231843;231844;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231843;105;;;
237914;231845;231846;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231845;105;;;
237915;231847;231848;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231847;105;;;
237916;231849;231850;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231849;105;;;
237917;231851;231852;Y;;;;;text;;;text;;500;;258;122;237785;01.09.17;231851;105;;;
237918;233025;233026;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233025;85;;;
237919;233027;233028;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233027;85;;;
237920;233029;233030;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233029;85;;;
237921;233031;233032;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233031;85;;;
237922;233033;233034;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233033;85;;;
237923;233035;233036;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233035;85;;;
237924;233037;233038;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233037;85;;;
237925;233039;233040;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233039;85;;;
237926;233041;233042;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233041;85;;;
237927;233043;233044;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233043;85;;;
237928;233045;233046;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233045;85;;;
237929;233047;233048;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233047;85;;;
237930;233049;233050;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233049;85;;;
237931;233051;233052;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233051;85;;;
237932;233053;233054;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233053;85;;;
237933;233055;233056;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233055;85;;;
237934;233057;233058;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233057;85;;;
237935;233059;233060;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233059;85;;;
237936;233061;233062;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233061;85;;;
237937;233063;233064;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233063;85;;;
237938;233065;233066;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233065;85;;;
237939;233067;233068;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233067;85;;;
237940;233069;233070;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233069;85;;;
237941;233071;233072;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233071;85;;;
237942;233073;233074;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233073;85;;;
237943;233075;233076;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233075;85;;;
