IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
231696;231695;231696;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231695;105;;;
231698;231697;231698;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231697;105;;;
231700;231699;231700;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231699;105;;;
231702;231701;231702;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231701;105;;;
231704;231703;231704;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231703;105;;;
231706;231705;231706;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231705;105;;;
231708;231707;231708;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231707;105;;;
231710;231709;231710;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231709;105;;;
231712;231711;231712;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231711;105;;;
231714;231713;231714;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231713;105;;;
231716;231715;231716;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231715;105;;;
231718;231717;231718;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231717;105;;;
231720;231719;231720;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231719;105;;;
231722;231721;231722;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231721;105;;;
231724;231723;231724;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231723;105;;;
231726;231725;231726;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231725;105;;;
231728;231727;231728;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231727;105;;;
231730;231729;231730;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231729;105;;;
231732;231731;231732;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231731;105;;;
231734;231733;231734;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231733;105;;;
231736;231735;231736;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231735;105;;;
231738;231737;231738;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231737;105;;;
231740;231739;231740;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231739;105;;;
