Федеральный перечень учебников, рекомендуемых к использованию при реализации имеющих государственную аккредитацию образовательных программ начального общего, основного общего, среднего общего образования;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Порядковый номер учебника;Система;Код 1С;Автор/авторский коллектив;Наименование учебника;Класс;"Автор в 1С издательства ""Просвещение""";"Наименование в 1С издательства ""Просвещение""";Линия УМК;Примечание;Год издания;Цена с НДС, руб. ;Заказ (количество экз);Система;
1. Учебники, рекомендуемые к использованию при реализации обязательной части основной образовательной программы;;;;;;;;;;;;;;
1.1. Начальное общее образование;;;;;;;;;;;;;;
1.1.1. Филология (предметная область);;;;;;;;;;;;;;
1.1.1.1.6.3;Перспектива;05-0078-07;;;2;Климанова Л.Ф., Бабушкина Т. В.;Русский язык. 2 класс. В 2-х ч. Ч. 2;Климанова Л.Ф. Русский язык (1-4);с online поддержкой;2017;325,49;;Перспектива;
1.1.1.1.6.4;Перспектива;05-0095-05;Климанова Л.Ф., Бабушкина Т.В.;Русский язык. В 2-х частях;3;Климанова Л. Ф., Бабушкина Т. В.;Русский язык. 3 кл. В 2-х ч. Ч. 1;Климанова Л.Ф. Русский язык (1-4);с online поддержкой;2017;325,49;;Перспектива;
1.1.1.1.6.4;Перспектива;05-0096-06;;;3;Климанова Л.Ф., Бабушкина Т. В.;Русский язык. 3 кл. В 2-х ч. Ч. 2;Климанова Л.Ф. Русский язык (1-4);с online поддержкой;2017;325,49;;Перспектива;
1.1.1.1.6.5;Перспектива;05-0112-05;Климанова Л.Ф., Бабушкина Т.В.;Русский язык. В 2-х частях;4;Климанова Л.Ф., Бабушкина Т. В.;Русский язык. 4 кл. В 2-х ч. Ч. 1;Климанова Л.Ф. Русский язык (1-4);с online поддержкой;2017;325,49;;Перспектива;
1.1.1.1.6.5;Перспектива;05-0132-06;;;4;Климанова Л.Ф., Бабушкина Т. В.;Русский язык. 4 кл. В 2-х ч. Ч. 2;Климанова Л.Ф. Русский язык (1-4);с online поддержкой;2017;325,49;;Перспектива;
1.1.1.1.10.1;;05-0035-04;Полякова А.В.;Русский язык;1;Полякова А. В.;Русский язык. 1 класс;Полякова А.В. (1-4);;2017;193,82;;;
1.1.1.1.10.2;;05-0013-07;Полякова А.В.;Русский язык. В 2-х частях;2;Полякова А. В.;Русский язык. 2 класс. В 2-х ч. Ч. 1;Полякова А.В. (1-4);;2017;212,41;;;
1.1.1.1.10.2;;05-0005-06;;;2;Полякова А. В.;Русский язык. 2 класс. В 2-х ч. Ч. 2;Полякова А.В. (1-4);;2017;212,41;;;
1.1.1.1.10.3;;05-0041-08;Полякова А.В.;Русский язык. В 2-х частях;3;Полякова А. В.;Русский язык. 3 класс. В 2-х ч. Ч. 1.;Полякова А.В. (1-4);;2017;212,41;;;
1.1.1.1.10.3;;05-0042-07;;;3;Полякова А. В.;Русский язык. 3 класс. В 2-х ч. Ч. 2.;Полякова А.В. (1-4);;2017;212,41;;;
1.1.1.1.10.4;;05-0044-04;Полякова А.В.;Русский язык. В 2-х частях;4;Полякова А. В.;Русский язык. 4 класс. В 2-х ч. Ч. 1;Полякова А.В. (1-4);;2017;212,41;;;
1.1.1.1.10.4;;05-0047-05;;;4;Полякова А. В.;Русский язык. 4 класс.  В 2-х ч. Ч. 2;Полякова А.В. (1-4);;2017;212,41;;;
1.1.1.2. Литературное чтение (учебный предмет);;;;;;;;;;;;;;
1.1.1.2.4.1;Перспектива;06-0093-09;Климанова Л. Ф., Горецкий В.Г., Виноградская Л.А. ;Литературное чтение. В 2-х частях;1;Климанова Л.Ф., Горецкий В. Г., Виноградская Л. А.;Литературное чтение. 1 класс. В 2-х ч. Ч. 1;Климанова Л.Ф. Литературное чтение (1-4);с online поддержкой;2017;243,98;;Перспектива;
1.1.1.2.4.1;Перспектива;06-0094-09;;;1;Климанова Л.Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 1 класс. В 2-х ч. Ч. 2;Климанова Л.Ф. Литературное чтение (1-4);с online поддержкой;2017;243,98;;Перспектива;
1.1.1.2.4.2;Перспектива;06-0037-11;Климанова Л. Ф., Виноградская Л.А., Горецкий В.Г.;Литературное чтение. В 2-х частях;2;Климанова Л.Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 2 класс. В 2-х ч. Ч. 1.;Климанова Л.Ф. Литературное чтение (1-4);с online поддержкой;2017;334,84;;Перспектива;
1.1.1.2.4.2;Перспектива;06-0038-08;;;2;Климанова Л.Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 2 класс. В 2-х ч. Ч. 2 ;Климанова Л.Ф. Литературное чтение (1-4);с online поддержкой;2017;334,84;;Перспектива;
1.1.1.2.4.3;Перспектива;06-0047-03;Климанова Л. Ф., Виноградская Л.А., Горецкий В.Г.;Литературное чтение. В 2-х частях;3;Климанова Л.Ф., Виноградская Л. А., Горецкий В. Г.;Литературное чтение. 3 класс. В 2-х ч. Ч. 1;Климанова Л.Ф. Литературное чтение (1-4);с online поддержкой;2017;334,84;;Перспектива;
1.1.1.2.4.3;Перспектива;06-0048-03;;;3;Климанова Л.Ф., Горецкий В. Г., Виноградская Л. А. и др.;Литературное чтение. 3 класс. В 2-х ч. Ч. 2;Климанова Л.Ф. Литературное чтение (1-4);с online поддержкой;2017;334,84;;Перспектива;
1.1.1.2.4.4;Перспектива;06-0049-02;Климанова Л. Ф., Виноградская Л.А., Бойкина М.В. ;Литературное чтение. В 2-х частях;4;Климанова Л. Ф., Виноградская Л. А., Бойкина М. В.;Литературное чтение. 4 класс. В 2-х ч. Ч. 1;Климанова Л.Ф. Литературное чтение (1-4);с online поддержкой;2017;334,84;;Перспектива;
1.1.1.2.4.4;Перспектива;06-0050-03;;;4;Климанова Л. Ф., Виноградская Л. А., Бойкина М. В.;Литературное чтение. 4 класс. В 2-х ч. Ч. 2;Климанова Л.Ф. Литературное чтение (1-4);с online поддержкой;2017;334,84;;Перспектива;
1.1.1.2.5.1;Школа России;06-0082-11;Климанова Л. Ф., Горецкий В.Г., Голованова М.В. и др. ;Литературное чтение. В 2-х частях;1;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 1 класс. В 2-х ч. Ч. 1;Климанова Л.Ф. (1-4);с online поддержкой;2017;214,06;;Школа России;
1.1.1.2.5.1;Школа России;06-0083-10;;;1;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 1 класс. В 2-х ч. Ч. 2;Климанова Л.Ф. (1-4);с online поддержкой;2017;214,06;;Школа России;
1.1.1.2.5.2;Школа России;06-0017-13;Климанова Л. Ф., Горецкий В.Г., Голованова М.В. и др. ;Литературное чтение. В 2-х частях;2;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 2 класс. В 2-х ч. Ч. 1 ;Климанова Л.Ф. (1-4);с online поддержкой;2017;334,84;;Школа России;
1.1.1.2.5.2;Школа России;06-0009-14;;;2;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 2 класс. В 2-х ч. Ч. 2;Климанова Л.Ф. (1-4);с online поддержкой;2017;334,84;;Школа России;
1.1.1.2.5.3;Школа России;06-0018-07;Климанова Л. Ф., Горецкий В.Г., Голованова М.В. и др. ;Литературное чтение. В 2-х частях;3;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 3 класс. В 2-х ч. Ч. 1;Климанова Л.Ф. (1-4);с online поддержкой;2017;334,84;;Школа России;
1.1.1.2.5.3;Школа России;06-0019-07;;;3;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 3 класс. В 2-х ч. Ч. 2;Климанова Л.Ф. (1-4);с online поддержкой;2017;334,84;;Школа России;
1.1.1.2.5.4;Школа России;06-0025-03;Климанова Л. Ф., Горецкий В.Г., Голованова М.В. и др. ;Литературное чтение. В 2-х частях;4;Климанова Л. Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 4 класс. В 2-х ч. Ч. 1;Климанова Л.Ф. (1-4);с online поддержкой;2017;334,84;;Школа России;
1.1.1.2.5.4;Школа России;06-0024-03;;;4;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 4 класс. В 2-х ч. Ч. 2;Климанова Л.Ф. (1-4);с online поддержкой;2017;334,84;;Школа России;
1.1.1.3. Иностранный язык (учебный предмет);;;;;;;;;;;;;;
Английский язык;;;;;;;;;;;;;;
1.1.1.3.2.1;Перспектива;24-1573-02;Баранова К.М., Дули Д., Копылова В.В. и др. ;Английский язык. 2 класс. В 2-х частях;2;Баранова К. М., Дули Д. ., Копылова В. В. и др.;Английский язык. 2 класс. В 2-х ч. Ч. 1;Звездный английский (2-4);;2017;286,22;;Перспектива;
1.1.1.3.2.1;Перспектива;24-1781-02;;;2;Баранова К. М., Дули Д. ., Копылова В. В. и др.;Английский язык. 2 класс. В 2-х ч. Ч. 2;Звездный английский (2-4);;2017;286,22;;Перспектива;
1.1.1.3.2.2;Перспектива;24-1611-01;Баранова К.М., Дули Д., Копылова В.В. и др. ;Английский язык. 3 класс. В 2-х частях;3;Баранова К.М., Дули Д., Копылова В.В. и др. ;Английский язык. 3 класс. В 2-х ч. Ч. 1;Звездный английский (2-4);;2017;314,93;;Перспектива;
1.1.1.3.2.2;Перспектива;24-1914-01;;;3;Баранова К. М., Дули Д. ., Копылова В. В. и др.;Английский язык. 3 класс. В 2-х ч. Ч. 2;Звездный английский (2-4);;2017;314,93;;Перспектива;
1.1.1.3.2.3;Перспектива;24-1614-01;Баранова К.М., Дули Д., Копылова В.В. и др. ;Английский язык. 4 класс. В 2-х частях;4;Баранова К. М., Дули Д. ., Копылова В. В.;Английский язык. 4 класс В 2-х ч. Ч. 1;Звездный английский (2-4);;2017;314,93;;Перспектива;
1.1.1.3.2.3;Перспектива;24-1920-01;;;4;Баранова К. М., Дули Д. ., Копылова В. В. и др.;Английский язык. 4 класс В 2-х ч. Ч.2;Звездный английский (2-4);;2017;314,93;;Перспектива;
1.1.1.3.3.1;Перспектива;24-0020-11;Быкова Н.И., Дули Д., Поспелова М.Д. и др. ;Английский язык. 2 класс;2;Быкова Н. И., Дули Д., Поспелова М. Д. и др.;Английский язык. 2 класс ;Английский в фокусе (2-4);с online поддержкой;2017;479,82;;Перспектива;
1.1.1.3.3.2;Перспектива;24-0228-08;Быкова Н.И., Дули Д., Поспелова М.Д. и др. ;Английский язык. 3 класс;3;Быкова Н.И., Дули Д., Поспелова М. Д. и др.;Английский язык. 3 класс. ;Английский в фокусе (2-4);с online поддержкой;2017;528,00;;Перспектива;
1.1.1.3.3.3;Перспектива;24-0261-09;Быкова Н.И., Дули Д., Поспелова М.Д. и др. ;Английский язык. 4 класс;4;Быкова Н. И., Дули Д. ., Поспелова М. Д. и др.;Английский язык. 4 класс. ;Английский в фокусе (2-4);с online поддержкой;2017;528,00;;Перспектива;
1.1.1.3.5.1;Школа России;24-0142-11;Верещагина И.Н., Бондаренко К.А., Притыкина Т.А. ;Английский язык. 2 класс. В 2-х частях;2;Верещагина И. Н., Бондаренко К. А., Притыкина Т. А.;Английский язык. 2 класс. В 2-х ч. Ч. 1;Верещагина И.Н. (2-4);с online поддержкой;2017;332,86;;Школа России;
1.1.1.3.5.1;Школа России;24-0143-11;;;2;Верещагина И. Н., Бондаренко К. А., Притыкина Т. А.;Английский язык. 2 класс. В 2-х ч. Ч. 2;Верещагина И.Н. (2-4);с online поддержкой;2017;332,86;;Школа России;
1.1.1.3.5.2;Школа России;24-0144-06;Верещагина И. Н., Притыкина Т. А.;Английский язык. 3 класс. В 2-х частях;3;Верещагина И. Н., Притыкина Т. А.;Английский язык. 3 класс. В 2-х ч. Ч. 1. ;Верещагина И.Н. (2-4);с online поддержкой;2017;332,86;;Школа России;
1.1.1.3.5.2;Школа России;24-0145-06;;;3;Верещагина И. Н., Притыкина Т. А.;Английский язык. 3 класс. В 2-х ч. Ч. 2. ;Верещагина И.Н. (2-4);с online поддержкой;2017;332,86;;Школа России;
1.1.1.3.5.3;Школа России;24-0146-05;Верещагина И.Н., Афанасьева О.В.;Английский язык. 4 класс. В 2-х частях.;4;Верещагина И.Н., Афанасьева О.В.;Английский язык. 4 класс. В 2-х ч. Ч.1.;Верещагина И.Н. (2-4);с online поддержкой;2017;332,86;;Школа России;
1.1.1.3.5.3;Школа России;24-0147-06;;;4;Верещагина И. Н., Афанасьева О. В.;Английский язык. 4 класс. В 2-х ч. Ч.2. ;Верещагина И.Н. (2-4);с online поддержкой;2017;332,86;;Школа России;
1.1.1.3.7.1;Школа России;24-1904-05;Кузовлев В.П., Перегудова Э.Ш., Пастухова С.А. и др. ;Английский язык. В 2-х частях;2;Кузовлев В. П., Перегудова Э. Ш., Пастухова С. А. и др.;Английский язык. 2 класс. В 2-х ч. Ч. 1;Кузовлев В.П. (2-4);с online поддержкой;2017;282,59;;Школа России;
1.1.1.3.7.1;Школа России;24-1905-06;;;2;Кузовлев В. П., Перегудова Э. Ш., Пастухова С. А. и др.;Английский язык. 2 класс. В 2-х ч. Ч. 2;Кузовлев В.П. (2-4);с online поддержкой;2017;282,59;;Школа России;
1.1.1.3.7.2;Школа России;24-1927-03;Кузовлев В.П., Лапа Н.М., Костина И.П. и др. ;Английский язык. В 2-х частях;3;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 3 класс. В 2-х ч. Ч. 1;Кузовлев В.П. (2-4);с online поддержкой;2017;310,97;;Школа России;
1.1.1.3.7.2;Школа России;24-1929-03;;;3;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 3 класс. В 2-х ч. Ч. 2;Кузовлев В.П. (2-4);с online поддержкой;2017;310,97;;Школа России;
1.1.1.3.7.3;Школа России;24-2057-02;Кузовлев В.П., Перегудова Э.Ш., Стрельникова О.В. и др. ;Английский язык. В 2-х частях;4;Кузовлев В. П., Перегудова Э. Ш., Стрельникова О. В. и др.;Английский язык. 4 класс В 2-х ч. Ч.1;Кузовлев В.П. (2-4);с online поддержкой;2017;310,97;;Школа России;
1.1.1.3.7.3;Школа России;24-2058-02;;;4;Кузовлев В.П., Перегудова Э.Ш., Стрельникова О.В. и др. ;Английский язык. 4 класс В 2-х ч. Ч.2;Кузовлев В.П. (2-4);с online поддержкой;2017;310,97;;Школа России;
Немецкий язык;;;;;;;;;;;;;;
1.1.1.3.9.1;Перспектива/ Школа России;25-0052-10;Бим И.Л., Рыжова Л.И.;Немецкий язык. В 2-х частях;2;Бим И. Л., Рыжова Л. И.;Немецкий язык. 2 класс. В 2-х ч. Ч. 1.;Бим И.Л. (2-4);с online поддержкой;2017;287,54;;Перспектива/ Школа России;
1.1.1.3.9.1;Перспектива/ Школа России;25-0053-10;;;2;Бим И. Л., Рыжова Л. И.;Немецкий язык. 2 класс. В 2-х ч. Ч. 2.;Бим И.Л. (2-4);с online поддержкой;2017;287,54;;Перспектива/ Школа России;
1.1.1.3.9.2;Перспектива/ Школа России;25-0054-08;Бим И.Л., Рыжова Л.И., Фомичева Л.М.;Немецкий язык. В 2-х частях;3;Бим И. Л., Рыжова Л. И., Фомичева Л. М.;Немецкий язык. 3 класс. В 2-х ч. Ч. 1.;Бим И.Л. (2-4);с online поддержкой;2017;287,54;;Перспектива/ Школа России;
1.1.1.3.9.2;Перспектива/ Школа России;25-0055-08;;;3;Бим И. Л., Рыжова Л. И., Фомичева Л. М.;Немецкий язык. 3 класс. В 2-х ч. Ч. 2.;Бим И.Л. (2-4);с online поддержкой;2017;287,54;;Перспектива/ Школа России;
1.1.1.3.9.3;Перспектива/ Школа России;25-0056-08;Бим И.Л., Рыжова Л.И.;Немецкий язык. В 2-х частях;4;Бим И. Л., Рыжова Л. И.;Немецкий язык. 4 кл.. В 2-х ч. Ч. 1;Бим И.Л. (2-4);с online поддержкой;2017;287,54;;Перспектива/ Школа России;
1.1.1.3.9.3;Перспектива/ Школа России;25-0057-08;;;4;Бим И. Л., Рыжова Л. И.;Немецкий язык. 4 кл.. В 2-х ч. Ч. 2;Бим И.Л. (2-4);с online поддержкой;2017;287,54;;Перспектива/ Школа России;
Французский язык;;;;;;;;;;;;;;
1.1.1.3.12.1;Перспектива;26-0117-09;Касаткина Н.М., Белосельская Т.В.;Французский язык. В 2-х частях;2;Касаткина Н. М., Белосельская Т. В.;Французский язык. II класс. В 2-х ч. Ч. 1.;Французский в перспективе (2-4);с online поддержкой;2017;305,91;;Перспектива;
1.1.1.3.12.1;Перспектива;26-0118-08;;;2;Касаткина Н. М., Белосельская Т. В.;Французский язык. II класс. В 2-х ч. Ч. 2.;Французский в перспективе (2-4);с online поддержкой;2017;305,91;;Перспектива;
1.1.1.3.12.2;Перспектива;26-0119-09;Касаткина Н.М., Гусева А.В.;Французский язык. В 2-х частях;3;Касаткина Н. М., Гусева А. В.;Французский язык. III класс. В 2-х ч. Ч. 1.;Французский в перспективе (2-4);с online поддержкой;2017;331,10;;Перспектива;
1.1.1.3.12.2;Перспектива;26-0120-07;;;3;Касаткина Н. М., Гусева А. В.;Французский язык.  III класс.  В 2-х ч. Ч. 2.;Французский в перспективе (2-4);с online поддержкой;2017;331,10;;Перспектива;
1.1.1.3.12.3;Перспектива;26-0112-05;Береговская Э.М. ;Французский язык. В 2-х частях;4;Береговская Э. М.;Французский язык. IV класс. В 2-х ч. Ч. 1.;Французский в перспективе (2-4);с online поддержкой;2018;331,10;;Перспектива;
1.1.1.3.12.3;Перспектива;26-0113-05;;;4;Береговская Э. М.;Французский язык. IV класс. В 2-х ч. Ч. 2.;Французский в перспективе (2-4);с online поддержкой;2018;331,10;;Перспектива;
1.1.1.3.13.1;Школа России;26-0030-10;Кулигина А.С., Кирьянова М.Г.;Французский язык;2;Кулигина А. С., Кирьянова М. Г.;Французский язык. 2 класс.;Твой друг французский язык (2-4);с online поддержкой;2017;550,11;;Школа России;
1.1.1.3.13.2;Школа России;26-0351-03;Кулигина А.С., Кирьянова М.Г.;Французский язык. В 2-х частях;3;Кулигина А. С., Кирьянова М. Г.;Французский язык. 3 класс. В 2-х ч. Ч. 1.;Твой друг французский язык (2-4);с online поддержкой;2017;339,13;;Школа России;
1.1.1.3.13.2;Школа России;26-0346-04;;;3;Кулигина А. С., Кирьянова М. Г.;Французский язык. 3 класс. В 2-х ч. Ч. 2.;Твой друг французский язык (2-4);с online поддержкой;2017;339,13;;Школа России;
1.1.1.3.13.3;Школа России;26-0352-02;Кулигина А.С.;Французский язык. В 2-х частях;4;Кулигина А. С.;Французский язык. 4 класс. В 2-х ч. Ч. 1.;Твой друг французский язык (2-4);с online поддержкой;2017;339,13;;Школа России;
1.1.1.3.13.3;Школа России;26-0347-02;;;4;Кулигина А. С.;Французский язык. 4 класс. В 2-х ч. Ч. 2.;Твой друг французский язык (2-4);с online поддержкой;2017;339,13;;Школа России;
Испанский язык;;;;;;;;;;;;;;
1.1.1.3.14.1;Перспектива/ Школа России;27-0163-04;Воинова А.А., Бухарова Ю.А., Морено К.В. ;Испанский язык;2;Воинова А. А., Бухарова Ю. А., Морено К. В.;Испанский язык. II  класс. В 2-х ч. Ч.1.;Воинова А.А. (2-4);с online поддержкой;2017;359,81;;Перспектива/ Школа России;
1.1.1.3.14.1;Перспектива/ Школа России;27-0167-03;;;2;Воинова А. А., Бухарова Ю. А., Морено К. В.;Испанский  язык. II класс. В 2-х ч. Ч.2.;Воинова А.А. (2-4);с online поддержкой;2017;359,81;;Перспектива/ Школа России;
1.1.1.3.14.2;Перспектива/ Школа России;27-0165-03;Воинова А.А., Бухарова Ю.А., Морено К.В. ;Испанский язык;3;Воинова А. А., Бухарова Ю. А., Морено К. В.;Испанский язык. III класс. В 2-х ч. Ч.1.;Воинова А.А. (2-4);с online поддержкой;2016;359,81;;Перспектива/ Школа России;
1.1.1.3.14.2;Перспектива/ Школа России;27-0348-03;;;3;Воинова А. А., Бухарова Ю. А., Морено К. В.;Испанский язык. III класс. В 2-х ч. Ч.2.;Воинова А.А. (2-4);с online поддержкой;2016;359,81;;Перспектива/ Школа России;
1.1.1.3.14.3;Перспектива/ Школа России;27-0166-03;Воинова А.А., Бухарова Ю.А., Морено К.В. ;Испанский язык. ;4;Воинова А. А., Бухарова Ю. А., Морено К. В.;Испанский язык. IV класс. В 2-х ч. Ч. 1.;Воинова А.А. (2-4);с online поддержкой;2017;359,81;;Перспектива/ Школа России;
1.1.1.3.14.3;Перспектива/ Школа России;27-0162-03;;;4;Воинова А. А., Бухарова Ю. А., Морено К. В.;Испанский язык. IV  класс. В 2-х ч. Ч. 2.;Воинова А.А. (2-4);с online поддержкой;2017;359,81;;Перспектива/ Школа России;
1.1.2. Математика и информатика (Предметная область);;;;;;;;;;;;;;
1.1.2.1.4.1;Перспектива (альтернативная линия);07-0060-08;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;Математика. В 2-х частях;1;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 1 класс. В 2-х ч. Ч. 1.;Дорофеев Г.В. (1-4);с online поддержкой;2017;287,98;;Перспектива (альтернативная линия);
1.1.2.1.4.1;Перспектива (альтернативная линия);07-0061-07;;;1;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 1 класс. В 2-х ч. Ч. 2;Дорофеев Г.В. (1-4);с online поддержкой;2017;287,98;;Перспектива (альтернативная линия);
1.1.2.1.4.2;Перспектива (альтернативная линия);07-0064-07;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;Математика. В 2-х частях;2;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика.  2 класс. В 2-х ч. Ч. 1;Дорофеев Г.В. (1-4);с online поддержкой;2017;316,69;;Перспектива (альтернативная линия);
1.1.2.1.4.2;Перспектива (альтернативная линия);07-0065-07;;;2;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 2 класс. В 2-х ч. Ч. 2;Дорофеев Г.В. (1-4);с online поддержкой;2017;316,69;;Перспектива (альтернативная линия);
1.1.2.1.4.3;Перспектива (альтернативная линия);07-0077-09;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;Математика. В 2-х частях;3;Дорофеев Г.В., Мираков Т. Н., Бука Т. Б.;Математика. 3 класс. В 2-х ч. Ч. 1;Дорофеев Г.В. (1-4);с online поддержкой;2017;316,69;;Перспектива (альтернативная линия);
1.1.2.1.4.3;Перспектива (альтернативная линия);07-0078-09;;;3;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 3 класс. В 2-х ч. Ч. 2;Дорофеев Г.В. (1-4);с online поддержкой;2017;316,69;;Перспектива (альтернативная линия);
1.1.2.1.4.4;Перспектива (альтернативная линия);07-0091-07;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;Математика. В 2-х частях;4;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 4 класс. В 2-х ч. Ч. 1;Дорофеев Г.В. (1-4);с online поддержкой;2017;316,69;;Перспектива (альтернативная линия);
1.1.2.1.4.4;Перспектива (альтернативная линия);07-0092-07;;;4;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 4 класс. В 2-х ч. Ч. 2;Дорофеев Г.В. (1-4);с online поддержкой;2017;316,69;;Перспектива (альтернативная линия);
