Id;Nameauthor;fp_code;fp_code1;name;author;class;nds;Price
rus_efu_67;Гулин А.В.,Романова А.Н. Литература 8кл.2ч.;99.99.99.99.99.99;99.99.99.99.99.99;Литература 8кл.2ч.;Гулин А.В.,Романова А.Н.;8;0,18;105
rus_efu_68;Гулин А.В.,Романова А.Н. Литература 9кл.1ч.;99.99.99.99.99.99;99.99.99.99.99.99;Литература 9кл.1ч.;Гулин А.В.,Романова А.Н.;9;0,18;105
rus_efu_69;Гулин А.В.,Романова А.Н. Литература 9кл.2ч.;99.99.99.99.99.99;99.99.99.99.99.99;Литература 9кл.2ч.;Гулин А.В.,Романова А.Н.;9;0,18;105
rus_efu_70;Козлов В.В., Никитин А.А., Белоносов В.С. и др. / Под ред. Козлова В.В. и Никитина А.А. Математика 5кл.;1.2.3.1.9.1;1.2.3.1.9.1;Математика 5кл.;Козлов В.В., Никитин А.А., Белоносов В.С. и др. / Под ред. Козлова В.В. и Никитина А.А.;5;0,18;105
rus_efu_71;Козлов В.В., Никитин А.А., Белоносов В.С. и др. / Под ред. Козлова В.В. и Никитина А.А. Математика 6кл.;1.2.3.1.9.2;1.2.3.1.9.2;Математика 6кл.;Козлов В.В., Никитин А.А., Белоносов В.С. и др. / Под ред. Козлова В.В. и Никитина А.А.;6;0,18;105
rus_efu_72;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред. Козлова В.В. и Никитина А.А. Математика.Алгебра и геометрия 7кл.;1.2.3.1.9.3;1.2.3.1.9.3;Математика.Алгебра и геометрия 7кл.;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред. Козлова В.В. и Никитина А.А.;7;0,18;105
rus_efu_73;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др.Под ред. Козлова В.В. и Никитина А.А. Математика.Алгебра и геометрия 8кл.;1.2.3.1.9.4;1.2.3.1.9.4;Математика.Алгебра и геометрия 8кл.;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др.Под ред. Козлова В.В. и Никитина А.А.;8;0,18;105
rus_efu_74;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др.Под ред. Козлова В.В. и Никитина А.А. Математика.Алгебра и геометрия 9кл.;1.2.3.1.9.5;1.2.3.1.9.5;Математика.Алгебра и геометрия 9кл.;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др.Под ред. Козлова В.В. и Никитина А.А.;9;0,18;105
rus_efu_75;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред.Козлова В.В.,Никитина А.А. Математика.Алгебра и геометрия 10кл.Базовый и углубленный уровни;1.3.4.1.5.1;1.3.4.1.5.1;Математика.Алгебра и геометрия 10кл.Базовый и углубленный уровни;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред.Козлова В.В.,Никитина А.А.;10;0,18;105
rus_efu_76;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред.Козлова В.В.,Никитина А.А. Математика.Алгебра и геометрия 11кл.Базовый и углублённый уровни;1.3.4.1.5.2;1.3.4.1.5.2;Математика.Алгебра и геометрия 11кл.Базовый и углублённый уровни;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред.Козлова В.В.,Никитина А.А.;11;0,18;105
