Id;Nameauthor;fp_code;fp_code1;name;author;class;nds;Price
rus_efu_19;Бойцов М.А.,Шукуров Р.М. Всеобщая история.История средних веков 6кл.;1.2.2.2.4.2;1.2.2.2.4.2;Всеобщая история.История средних веков 6кл.;Бойцов М.А.,Шукуров Р.М.;6;0,18;105
rus_efu_20;Дмитриева О. В. Всеобщая история. История Нового времени.  Конец XV-XVIII век. 7 кл.;1.2.2.2.4.3;1.2.2.2.4.3;Всеобщая история. История Нового времени.  Конец XV-XVIII век. 7 кл.;Дмитриева О. В.;7;0,18;105
rus_efu_21;Н.В. Загладин Всеобщая история. История Нового времени XIX - начало XX века. 8 кл.;99.99.99.99.99.99;99.99.99.99.99.99;Всеобщая история. История Нового времени XIX - начало XX века. 8 кл.;Н.В. Загладин;8;0,18;105
rus_efu_22;Н.В. Загладин Всеобщая история. Новейшая история XX - начало XXI века. 9кл.;1.2.2.2.4.5;1.2.2.2.4.5;Всеобщая история. Новейшая история XX - начало XXI века. 9кл.;Н.В. Загладин;9;0,18;105
rus_efu_23;Загладин Н.В.,Симония Н.А. История. Всеобщая история (углубленный уровень) 10 кл.;1.3.3.2.1.1;1.3.3.2.1.1;История. Всеобщая история (углубленный уровень) 10 кл.;Загладин Н.В.,Симония Н.А.;10;0,18;105
rus_efu_24;Н.В. Загладин История. Всеобщая история (углубленный уровень) 11 кл.;1.3.3.2.1.2;1.3.3.2.1.2;История. Всеобщая история (углубленный уровень) 11 кл.;Н.В. Загладин;11;0,18;105
rus_efu_25;Домогацких Е.М.,Введенский Э.Л.,Плешаков А.А. География. Введение в географию 5кл.;1.2.2.4.3.1;1.2.2.4.3.1;География. Введение в географию 5кл.;Домогацких Е.М.,Введенский Э.Л.,Плешаков А.А.;5;0,18;105
rus_efu_26;Домогацких Е.М., Алексеевский Н.И. География 6кл.;1.2.2.4.3.2;1.2.2.4.3.2;География 6кл.;Домогацких Е.М., Алексеевский Н.И.;6;0,18;105
rus_efu_27;Домогацких Е.М.,Алексеевский Н.И. География 7кл. в 2-х чч.1ч.;1.2.2.4.3.3;1.2.2.4.3.3;География 7кл. в 2-х чч.1ч.;Домогацких Е.М.,Алексеевский Н.И.;7;0,18;105
rus_efu_28;Домогацких Е.М.,Алексеевский Н.И. География 7кл. в 2-х чч.2ч.;1.2.2.4.3.3;1.2.2.4.3.3;География 7кл. в 2-х чч.2ч.;Домогацких Е.М.,Алексеевский Н.И.;7;0,18;105
rus_efu_29;Домогацких Е.М.,Алексеевский Н.И. География 8 кл.ФГОС;1.2.2.4.3.4;1.2.2.4.3.4;География 8 кл.ФГОС;Домогацких Е.М.,Алексеевский Н.И.;8;0,18;105
rus_efu_30;Домогацких Е.М.,Алексеевский Н.И.,Клюев Н.Н. География 9кл.ФГОС;1.2.2.4.3.5;1.2.2.4.3.5;География 9кл.ФГОС;Домогацких Е.М.,Алексеевский Н.И.,Клюев Н.Н.;9;0,18;105
rus_efu_31;Домогацких Е.М.,Алексеевский Н.И. География (базовый уровень)10-11кл.1ч.;1.3.3.4.3.1;1.3.3.4.3.1;География (базовый уровень)10-11кл.1ч.;Домогацких Е.М.,Алексеевский Н.И.;10-11 кл;0,18;105
rus_efu_32;Домогацких Е.М.,Алексеевский Н.И. География (базовый уровень)10-11кл.2ч.;1.3.3.4.3.1;1.3.3.4.3.1;География (базовый уровень)10-11кл.2ч.;Домогацких Е.М.,Алексеевский Н.И.;10-11 кл;0,18;105
rus_efu_33;Домогацких Е.М.,Алексеевский Н.И. География (углубленный уровень)10кл.;1.3.3.5.1.1;1.3.3.5.1.1;География (углубленный уровень)10кл.;Домогацких Е.М.,Алексеевский Н.И.;10;0,18;105
rus_efu_34;Домогацких Е.М.,Алексеевский Н.И. География (углубленный уровень)11кл.;1.3.3.5.1.2;1.3.3.5.1.2;География (углубленный уровень)11кл.;Домогацких Е.М.,Алексеевский Н.И.;11;0,18;105
rus_efu_35;Введенский Э.Л.,Плешаков А.А. Естествознание.Введение в естественные науки 5кл.;2.2.5.1.2.1;2.2.5.1.2.1;Естествознание.Введение в естественные науки 5кл.;Введенский Э.Л.,Плешаков А.А.;5;0,18;105
rus_efu_36;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 1кл.;1.1.5.1.8.1;1.1.5.1.8.1;Изобразительное искусство 1кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;1;0,18;105
rus_efu_37;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 2кл.;1.1.5.1.8.2;1.1.5.1.8.2;Изобразительное искусство 2кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;2;0,18;105
rus_efu_38;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 3кл.;1.1.5.1.8.3;1.1.5.1.8.3;Изобразительное искусство 3кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;3;0,18;105
rus_efu_39;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 4кл.;1.1.5.1.8.4;1.1.5.1.8.4;Изобразительное искусство 4кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;4;0,18;105
