2П093-04;ЭФУ; 2П132-01;99.99.99.99.99.124;Дорофеев Г.В., Петерсон Л.Г.;Математика:  5 класс (в двух частях). Ч.2;5;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П094-04;ЭФУ; 2П133-01;99.99.99.99.99.125;Дорофеев Г.В., Петерсон Л.Г.;Математика: 6 класс (в трех частях). Ч.1;6;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П095-04;ЭФУ; 2П134-01;99.99.99.99.99.126;Дорофеев Г.В., Петерсон Л.Г.;Математика: 6 класс (в трех частях). Ч.2;6;2017;85,00;18%;;;;;;;;;;;;;;;;;;
2П096-04;ЭФУ; 2П135-01;99.99.99.99.99.127;Дорофеев Г.В., Петерсон Л.Г.;Математика: 6 класс (в трех частях). Ч.3;6;2017;85,00;18%;;;;;;;;;;;;;;;;;;
4П097-04;ЭФУ;4П148-01;99.99.99.99.99.128;Петерсон Л.Г., Абраров Д.Л., Чуткова Е.В.;Алгебра: 7 класс (в трех частях). Ч.1;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
4П098-04;ЭФУ;4П149-01;99.99.99.99.99.129;Петерсон Л.Г., Абраров Д.Л., Чуткова Е.В.;Алгебра: 7 класс (в трех частях). Ч.2;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
4П099-04;ЭФУ;4П150-01;99.99.99.99.99.130;Петерсон Л.Г., Абраров Д.Л., Чуткова Е.В.;Алгебра: 7 класс (в трех частях). Ч.3;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
4П100-04;ЭФУ;4П151-01;99.99.99.99.99.131;Петерсон Л.Г., Агаханов Н.Х., Петрович А.Ю., Подлипский О.К., Рогатова М.В., Трушин Б.В. ;Алгебра: 8 класс (в трех частях). Ч.1;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
4П101-04;ЭФУ;4П152-01;99.99.99.99.99.132;Петерсон Л.Г., Агаханов Н.Х., Петрович А.Ю., Подлипский О.К., Рогатова М.В., Трушин Б.В. ;Алгебра: 8 класс (в трех частях). Ч.2;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
4П102-04;ЭФУ;4П153-01;99.99.99.99.99.133;Петерсон Л.Г., Агаханов Н.Х., Петрович А.Ю., Подлипский О.К., Рогатова М.В., Трушин Б.В. ;Алгебра: 8 класс (в трех частях). Ч.3;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
