05-0554-01_l5;Полякова А. В.;Русский язык. 2 класс. В 2-х ч. Ч.1. Электронная форма учебника.  (Лицензия 5 лет);2;Полякова А.В. (1-4);;99.99.99.99.99.99;181
05-0555-01_l5;Полякова А. В.;Русский язык. 2 класс. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);2;Полякова А.В. (1-4);;99.99.99.99.99.99;181
05-0556-01_l5;Полякова А. В.;Русский язык. 3 класс. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);3;Полякова А.В. (1-4);;99.99.99.99.99.99;181
05-0557-01_l5;Полякова А. В.;Русский язык. 3 класс. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);3;Полякова А.В. (1-4);;99.99.99.99.99.99;181
05-0559-01_l5;Полякова А. В.;Русский язык. 4 класс. В 2-х ч. Ч.1 Электронная форма учебника. (Лицензия 5 лет);4;Полякова А.В. (1-4);;99.99.99.99.99.99;181
05-0560-01_l5;Полякова А. В.;Русский язык.  4 класс. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);4;Полякова А.В. (1-4);;99.99.99.99.99.99;181
05-0561-01_l5;Климанова Л.Ф., Макеева С. Г.;Русский язык. 1 класс. Электронная форма учебника.  (Лицензия 5 лет);1;Климанова Л.Ф. Русский язык (1-4);Перспектива;99.99.99.99.99.99;181
06-0271-01_l5;Сахипова З. Г.;Литературное чтение. 1 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);1;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
06-0272-01_l5;Сахипова З. Г., Орлова Т. Н., Бабурин А. .;Литературное чтение. 2 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);2;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
06-0273-01_l5;Сахипова З. Г., Орлова Т. Н., Бабурин А. .;Литературное чтение. 3 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);3;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
06-0274-01_l5;Сахипова З. Г., Орлова Т. Н., Бабурин А. .;Литературное чтение. 4 класс. Учебник для детей мигрантов и переселенцев. Электронная форма учебника. (Лицензия 5 лет);4;Русский язык и литературное чтение. Предметная линия для детей мигрантов и переселенцев (1-4);;99.99.99.99.99.99;181
06-0288-01_l5;Климанова Л.Ф., Горецкий В. Г., Бойкина М. В.;Литературное чтение. 1 класс. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);1;Климанова Л.Ф. Литературное чтение (1-4);Перспектива;99.99.99.99.99.99;181
06-0289-01_l5;Климанова Л.Ф., Горецкий В. Г., Виноградская Л. А.;Литературное чтение. 1 класс. В 2-х ч. Ч.2. Электронная форма учебника.  (Лицензия 5 лет);1;Климанова Л.Ф. Литературное чтение (1-4);Перспектива;99.99.99.99.99.99;181
06-0290-01_l5;Климанова Л.Ф., Горецкий В. Г., Виноградская Л. А.;Литературное чтение. 2 класс. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);2;Климанова Л.Ф. Литературное чтение (1-4);Перспектива;99.99.99.99.99.99;181
06-0291-01_l5;Климанова Л.Ф., Горецкий В. Г., Виноградская Л. А.;Литературное чтение. 2 класс. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);2;Климанова Л.Ф. Литературное чтение (1-4);Перспектива;99.99.99.99.99.99;181
06-0292-01_l5;Климанова Л.Ф., Горецкий В. Г., Виноградская Л. А.;Литературное чтение. 3 класс. В 2-х ч. Ч.1. Электронная форма учебника.  (Лицензия 5 лет);3;Климанова Л.Ф. Литературное чтение (1-4);Перспектива;99.99.99.99.99.99;181
06-0293-01_l5;Климанова Л.Ф., Горецкий В. Г., Виноградская Л. А.;Литературное чтение. 3 класс. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);3;Климанова Л.Ф. Литературное чтение (1-4);Перспектива;99.99.99.99.99.99;181
06-0294-01_l5;Климанова Л.Ф., Виноградская Л. А., Бойкина М. В.;Литературное чтение. 4 класс. В 2-х ч. Ч.1. Электронная форма учебника.  (Лицензия 5 лет);4;Климанова Л.Ф. Литературное чтение (1-4);Перспектива;99.99.99.99.99.99;181
06-0295-01_l5;Климанова Л.Ф., Виноградская Л. А., Бойкина М. В.;Литературное чтение. 4 класс. В 2-х ч. Ч.2. Электронная форма учебника.  (Лицензия 5 лет);4;Климанова Л.Ф. Литературное чтение (1-4);Перспектива;99.99.99.99.99.99;181
06-0296-01_l5;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 1 класс. В 2-х ч. Ч.1. Электронная форма учебника.  (Лицензия 5 лет);1;Климанова Л.Ф. (1-4);Школа России;99.99.99.99.99.99;181
06-0297-01_l5;Климанова Л.Ф., Горецкий В. Г., Голованова М. В.;Литературное чтение. 1 класс. В 2-х ч. Ч.2. Электронная форма учебника.  (Лицензия 5 лет);1;Климанова Л.Ф. (1-4);Школа России;99.99.99.99.99.99;181
06-0298-01_l5;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 2 класс. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);2;Климанова Л.Ф. (1-4);Школа России;99.99.99.99.99.99;181
06-0299-01_l5;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 2 класс. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);2;Климанова Л.Ф. (1-4);Школа России;99.99.99.99.99.99;181
