№ ФП ;Код 1С (группа);Автор/авторский коллектив;Наименование учебника;Класс;Цена с доставкой (в т.ч. НДС), руб.
1.1.1.3.15.2;VEN000000000425716;Сурьялайнен И.А., Братчикова Н.С. / Под ред. Старшовой Т.И. ;Финский язык. 3 класс. (В 2 ч. )                1 часть с CD диском;3;413,00
1.1.1.3.15.2;VEN000000000425715;Сурьялайнен И.А., Братчикова Н.С. / Под ред. Старшовой Т.И. ;Финский язык. 3 класс. (В 2 ч. )               2 часть;3;339,00
1.1.1.3.15.3;VEN000000000425713;Сурьялайнен И.А., Братчикова Н.С. / Под ред. Старшовой Т.И.;Финский язык. 4 класс. (В 2 ч. )               1 часть с CD диском;4;413,00
1.1.1.3.15.3;VEN000000000425714;Сурьялайнен И.А., Братчикова Н.С. / Под ред. Старшовой Т.И.;Финский язык. 4 класс.( В 2 ч. )                      2 часть;4;339,00
1.1.2.1.10.1;VEN000000000425997;Рудницкая В.Н., Кочурова Е.Э., Рыдзе О.А.;Математика. 1 класс. В 2 ч. ;1;339,00
1.1.2.1.10.1;VEN000000000426024;Рудницкая В.Н., Кочурова Е.Э., Рыдзе О.А.;Математика. 1 класс. В 2 ч. ;1;339,00
1.1.2.1.10.2;DRF000000000722797;Рудницкая В.Н., Юдачёва Т.В.;Математика. 2 класс. В 2 ч. ;2;358,00
1.1.2.1.10.2;DRF000000000722798;Рудницкая В.Н., Юдачёва Т.В.;Математика. 2 класс. В 2 ч. ;2;358,00
1.1.2.1.10.3;DRF000000000722799;Рудницкая В.Н., Юдачёва Т.В.;Математика. 3 класс. В 2 ч. ;3;363,00
1.1.2.1.10.3;DRF000000000722800;Рудницкая В.Н., Юдачёва Т.В.;Математика. 3 класс. В 2 ч. ;3;363,00
1.1.2.1.10.4;VEN000000000425981;Рудницкая В.Н., Юдачёва Т.В.; Математика. 4 класс. В 2 ч. ;4;363,00
1.1.2.1.10.4;VEN000000000425962;Рудницкая В.Н., Юдачёва Т.В.; Математика. 4 класс. В 2 ч. ;4;363,00
1.1.2.1.7.1;VEN000000000425908;Минаева С.С., Рослова Л.О., Рыдзе О.А., Фёдорова Л.И., Булычёв В.А. / Под ред. Булычёва В.А. ;Математика. 1 класс. В 2 ч.;1;336,00
1.1.2.1.7.1;VEN000000000425909;Минаева С.С., Рослова Л.О., Рыдзе О.А., Фёдорова Л.И., Булычёв В.А. / Под ред. Булычёва В.А. ;Математика. 1 класс. В 2 ч.;1;336,00
1.1.2.1.7.2;VEN000000000425979;Минаева С.С., Рослова Л.О., Рыдзе О.А. / Под ред. Булычёва В.А. ;Математика. 2 класс. В 2 ч.;2;347,00
1.1.2.1.7.2;VEN000000000425952;Минаева С.С., Рослова Л.О., Рыдзе О.А. / Под ред. Булычёва В.А. ;Математика. 2 класс. В 2 ч.;2;347,00
1.1.2.1.7.3;VEN000000000425919;Минаева С.С., Рослова Л.О., Рыдзе О.А. Под ред. В.А. Булычёва;Математика. 3 класс. В 2 ч.;3;351,00
1.1.2.1.7.3;VEN000000000425965;Минаева С.С., Рослова Л.О., Рыдзе О.А. Под ред. В.А. Булычёва;Математика. 3 класс. В 2 ч.;3;351,00
1.1.2.1.7.4;VEN000000000425927;Минаева С.С., Рослова Л.О. / Под ред. Булычёва В.А.;Математика. 4 класс. В 2 ч.;4;351,00
1.1.2.1.7.4;VEN000000000425938;Минаева С.С., Рослова Л.О. / Под ред. Булычёва В.А.;Математика. 4 класс. В 2 ч.;4;351,00
1.1.3.1.1.1;VEN000000000426337;Виноградова Н.Ф.;Окружающий мир. 1 класс. В 2 ч.;1;339,00
1.1.3.1.1.1;VEN000000000426325;Виноградова Н.Ф.;Окружающий мир. 1 класс. В 2 ч.;1;339,00
1.1.3.1.1.2;VEN000000000426334;Виноградова Н.Ф.;Окружающий мир. 2 класс. В 2 ч.;2;358,00
1.1.3.1.1.2;VEN000000000426324;Виноградова Н.Ф.;Окружающий мир. 2 класс. В 2 ч.;2;358,00
1.1.3.1.1.3;AST000000000184986;Виноградова Н.Ф., Калинова Г.С.;Окружающий мир. 3 класс.. В 2 ч.;3;363,00
1.1.3.1.1.3;DRF000000000722892;Виноградова Н.Ф., Калинова Г.С.;Окружающий мир. 3 класс.. В 2 ч.;3;363,00
1.1.3.1.1.4;VEN000000000426328;Виноградова Н.Ф., Калинова Г.С.;Окружающий мир. 4 класс. В 2 ч.;4;363,00
1.1.3.1.1.4;VEN000000000426332;Виноградова Н.Ф., Калинова Г.С.;Окружающий мир. 4 класс. В 2 ч.;4;363,00
1.1.4.1.2.2;AST000000000182972;Виноградова Н.Ф., Власенко В.И., Поляков А.В.;" Основы религиозных культур и светской этики. Основы исламской культуры. 4 класс.. В 2 ч. Ч. 1:   Введение. Ч. 2: Основы исламской культуры» ";4;527,00
1.1.4.1.2.3;DRF000000000427869;Виноградова Н.Ф., Власенко В.И., Поляков А.В.;Основы религиозных культур и светской этики. Основы православной культуры. 4 класс.. В 2 ч. Ч. 1: Введение. Ч. 2: Основы православной культуры. ;4;527,00
1.1.4.1.2.4;DRF000000000427868;Виноградова Н.Ф., Власенко В.И., Поляков А.В.; Основы религиозных культур и светской этики. Основы светской этики. 4 класс.. В 2 ч. Ч. 1: Введение. Ч. 2: Основы светской этики. ;4;527,00
1.1.4.1.2.5;DRF000000000427867;Н.Ф. Виноградова, В.И. Власенко, А.В. Поляков;Основы религиозных культур и светской этики. Основы мировых религиозных культур. 4 класс.. В 2 ч. Ч. 1: Введение. Ч. 2: Основы мировых религиозных культур. ;4;527,00
1.1.5.1.7.1;VEN000000000426260;Савенкова Л.Г., Ермолинская Е.А.;Изобразительное искусство. 1 класс. ;1;328,00
1.1.5.1.7.2;VEN000000000426268;Савенкова Л.Г., Ермолинская Е.А.;Изобразительное искусство. 2 класс. ;2;339,00
1.1.5.1.7.3;VEN000000000426278;Савенкова Л.Г., Ермолинская Е.А.;Изобразительное искусство. 3 класс. ;3;352,00
1.1.5.1.7.4;VEN000000000426267;Савенкова Л.Г., Ермолинская Е.А.;Изобразительное искусство. 4 класс. ;4;352,00
1.1.5.2.7.1;VEN000000000426035;Усачёва В.О., Школяр Л.В.; Музыка. 1 класс. ;1;328,00
1.1.5.2.7.2;VEN000000000426051;Усачёва В.О., Школяр Л.В.; Музыка. 2 класс. ;2;339,00
1.1.5.2.7.3;VEN000000000426045;Усачёва В.О., Школяр Л.В.; Музыка. 3 класс. ;3;352,00
1.1.5.2.7.4;VEN000000000426050;Усачёва В.О., Школяр Л.В.; Музыка. 4 класс. ;4;352,00
1.1.6.1.3.1;VEN000000000426205;Лутцева Е.А.;Технология. 1 класс. ;1;328,00
1.1.6.1.3.2;VEN000000000426254;Лутцева Е.А.;Технология. 2 класс. ;2;339,00
1.1.6.1.3.3;VEN000000000426210;Лутцева Е.А.;Технология. 3 класс. ;3;352,00
1.1.6.1.3.4;VEN000000000426229;Лутцева Е.А.;Технология. 4 класс. ;4;352,00
1.1.6.1.11.1;VEN000000000426216;Хохлова М.В., Синица Н.В., Симоненко В.Д., Симоненко В.Д., Семенович Н.А., Матяш Н.В.;Технология. 1 класс. ;1;314,00
